Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
1/4/2016,23.91,26.08,25.58,25.72,25.99,30.42,0.001,270597600,-0.41,-0.41
1/5/2016,23.32,26.03,25.49,25.69,25.94,29.37,-0.025,223164000,-0.45,-0.418
1/6/2016,22.86,25.95,25.39,25.66,25.88,23.43,-0.02,273829600,-0.49,-0.4324
1/7/2016,21.89,25.86,25.25,25.62,25.8,21.41,-0.042,324377600,-0.55,-0.45592
1/8/2016,22.01,25.79,25.12,25.58,25.72,26.71,0.005,283192000,-0.6,-0.484736
1/11/2016,22.37,25.69,25.02,25.54,25.66,27.71,0.016,198957600,-0.64,-0.5157888
1/12/2016,22.69,25.6,24.92,25.5,25.6,32.75,0.015,196616800,-0.68,-0.54863104
1/13/2016,22.11,25.5,24.81,25.46,25.53,24.8,-0.026,249758400,-0.72,-0.582904832
1/14/2016,22.59,25.41,24.73,25.44,25.47,32.13,0.022,252680400,-0.74,-0.614323866
1/15/2016,22.05,25.3,24.62,25.42,25.4,30.61,-0.024,319335600,-0.78,-0.647459092
1/19/2016,21.94,25.18,24.52,25.4,25.33,24.34,-0.005,212350800,-0.81,-0.679967274
1/20/2016,21.97,25.07,24.42,25.39,25.27,26.34,0.001,289337600,-0.85,-0.713973819
1/21/2016,21.86,24.96,24.32,25.36,25.2,28.34,-0.005,208646000,-0.88,-0.747179055
1/22/2016,23.02,24.87,24.27,25.34,25.16,42.36,0.053,263202000,-0.89,-0.775743244
1/25/2016,22.57,24.8,24.2,25.31,25.11,43.47,-0.02,207178000,-0.91,-0.802594595
1/26/2016,22.7,24.72,24.14,25.28,25.06,48.5,0.006,300308000,-0.92,-0.826075676
1/27/2016,21.21,24.62,24.03,25.25,24.98,44.15,-0.066,533478800,-0.95,-0.850860541
1/28/2016,21.36,24.54,23.92,25.21,24.91,44.5,0.007,222715200,-0.99,-0.878688433
1/29/2016,22.1,24.46,23.85,25.18,24.85,47.86,0.035,257666000,-1,-0.902950746
2/1/2016,21.89,24.38,23.77,25.15,24.8,43.52,-0.009,163774000,-1.03,-0.928360597
2/2/2016,21.45,24.28,23.68,25.11,24.73,44.53,-0.02,149428800,-1.05,-0.952688478
2/3/2016,21.87,24.18,23.61,25.08,24.67,43.98,0.02,183857200,-1.06,-0.974150782
2/4/2016,22.05,24.08,23.55,25.05,24.62,49.99,0.003,185886800,-1.07,-0.993320626
2/5/2016,21.46,23.97,23.47,25,24.56,46.04,-0.027,185672400,-1.09,-1.012656501
2/8/2016,21.68,23.87,23.4,24.96,24.5,47.72,0.011,216085600,-1.1,-1.0301252
2/9/2016,21.68,23.76,23.33,24.92,24.45,48.54,0,177324800,-1.12,-1.04810016
2/10/2016,21.52,23.66,23.26,24.87,24.39,35.48,-0.008,169374400,-1.13,-1.064480128
2/11/2016,21.39,23.55,23.19,24.83,24.33,37.81,-0.006,200298800,-1.14,-1.079584103
2/12/2016,21.45,23.45,23.12,24.78,24.27,37.05,0.003,161405600,-1.15,-1.093667282
2/16/2016,22.06,23.36,23.08,24.74,24.23,60.83,0.028,196231600,-1.15,-1.104933826
2/17/2016,22.39,23.28,23.05,24.71,24.19,62.6,0.015,179452800,-1.14,-1.111947061
2/18/2016,21.97,23.18,23.01,24.67,24.15,48.33,-0.019,156084000,-1.14,-1.117557648
2/19/2016,21.92,23.08,22.96,24.63,24.1,50.41,-0.002,141496800,-1.14,-1.122046119
2/22/2016,22.11,22.99,22.93,24.6,24.06,59.8,0.009,137123200,-1.13,-1.123636895
2/23/2016,21.61,22.9,22.88,24.56,24.01,46.25,-0.023,127770400,-1.13,-1.124909516
2/24/2016,21.93,22.81,22.84,24.53,23.97,48.42,0.015,145022800,-1.13,-1.125927613
2/25/2016,22.08,22.74,22.81,24.5,23.94,59.86,0.007,110330800,-1.13,-1.12674209
2/26/2016,22.12,22.67,22.78,24.48,23.9,57.27,0.002,115964400,-1.12,-1.125393672
2/29/2016,22.07,22.61,22.76,24.45,23.86,56.41,-0.002,140865200,-1.1,-1.120314938
3/1/2016,22.94,22.56,22.76,24.43,23.85,69.11,0.04,201628400,-1.09,-1.11425195
3/2/2016,22.99,22.53,22.77,24.41,23.83,71.99,0.002,132678400,-1.06,-1.10340156
3/3/2016,23.17,22.51,22.79,24.39,23.82,72.77,0.007,147822800,-1.03,-1.088721248
3/4/2016,23.51,22.49,22.82,24.38,23.81,70.75,0.015,184220400,-0.99,-1.068976999
3/7/2016,23.25,22.47,22.83,24.35,23.8,62.49,-0.011,143315600,-0.97,-1.049181599
3/8/2016,23.06,22.44,22.84,24.33,23.78,67.05,-0.008,126247600,-0.94,-1.027345279
3/9/2016,23.08,22.41,22.85,24.31,23.77,68.33,0.001,108806800,-0.92,-1.005876223
3/10/2016,23.09,22.39,22.86,24.29,23.76,66.41,0,134054400,-0.9,-0.984700979
3/11/2016,23.34,22.36,22.88,24.27,23.75,81.62,0.011,109632800,-0.87,-0.961760783
3/14/2016,23.4,22.34,22.9,24.26,23.74,79.67,0.003,100304400,-0.84,-0.937408626
3/15/2016,23.87,22.34,22.94,24.24,23.74,82,0.02,160270800,-0.8,-0.909926901
3/16/2016,24.19,22.34,22.99,24.23,23.75,83.66,0.013,153214000,-0.76,-0.879941521
3/17/2016,24.15,22.36,23.03,24.21,23.76,83.97,-0.002,137682800,-0.73,-0.849953217
3/18/2016,24.17,22.39,23.08,24.19,23.77,77.81,0.001,176820800,-0.69,-0.817962573
3/21/2016,24.17,22.43,23.12,24.17,23.78,77.22,0,142010800,-0.66,-0.786370059
3/22/2016,24.36,22.48,23.17,24.15,23.79,77.36,0.008,129777600,-0.62,-0.753096047
3/23/2016,24.22,22.52,23.21,24.13,23.8,68.1,-0.006,102814000,-0.59,-0.720476838
3/24/2016,24.12,22.54,23.25,24.11,23.8,73.93,-0.004,104532000,-0.55,-0.68638147
3/28/2016,24.01,22.58,23.28,24.07,23.81,77.44,-0.005,77645600,-0.53,-0.655105176
3/29/2016,24.58,22.62,23.33,24.05,23.82,82.87,0.024,124760400,-0.49,-0.622084141
3/30/2016,25.01,22.68,23.39,24.03,23.85,85.52,0.017,182404400,-0.46,-0.589667313
3/31/2016,24.88,22.74,23.45,24,23.87,79.81,-0.005,103553600,-0.42,-0.55573385
4/1/2016,25.1,22.8,23.52,23.97,23.89,81.05,0.009,103496000,-0.37,-0.51858708
4/4/2016,25.36,22.87,23.59,23.95,23.92,79.46,0.01,149424800,-0.33,-0.480869664
4/5/2016,25.06,22.91,23.65,23.93,23.94,67.42,-0.012,106314800,-0.29,-0.442695731
4/6/2016,25.32,22.97,23.71,23.91,23.97,71.5,0.01,105616400,-0.26,-0.406156585
4/7/2016,24.77,23.01,23.75,23.89,23.99,59.16,-0.022,127207600,-0.24,-0.372925268
4/8/2016,24.8,23.08,23.79,23.88,24,59.54,0.001,94326800,-0.21,-0.340340214
4/11/2016,24.88,23.15,23.84,23.86,24.02,58.24,0.003,117630000,-0.18,-0.308272172
4/12/2016,25.21,23.21,23.89,23.86,24.04,64.57,0.013,108929200,-0.15,-0.276617737
4/13/2016,25.57,23.29,23.96,23.86,24.07,69.99,0.014,133029200,-0.11,-0.24329419
4/14/2016,25.58,23.37,24.02,23.85,24.1,72.28,0.001,101895600,-0.08,-0.210635352
4/15/2016,25.07,23.44,24.06,23.84,24.12,57.11,-0.02,187756000,-0.06,-0.180508281
4/18/2016,24.53,23.48,24.08,23.81,24.13,43.4,-0.022,243286000,-0.05,-0.154406625
4/19/2016,24.4,23.54,24.09,23.79,24.14,43.4,-0.005,129539600,-0.05,-0.1335253
4/20/2016,24.45,23.6,24.11,23.76,24.14,40.45,0.002,122444000,-0.03,-0.11282024
4/21/2016,24.19,23.65,24.11,23.74,24.14,32.84,-0.011,126210000,-0.03,-0.096256192
4/22/2016,24.12,23.7,24.11,23.71,24.14,35.24,-0.003,134732400,-0.03,-0.083004954
4/25/2016,23.98,23.75,24.1,23.68,24.14,28.12,-0.006,112126400,-0.04,-0.074403963
4/26/2016,23.82,23.8,24.09,23.65,24.13,32.17,-0.007,224064800,-0.04,-0.06752317
4/27/2016,22.33,23.81,24.02,23.61,24.1,20.15,-0.063,458408400,-0.08,-0.070018536
