date,close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,volume
1/3/2022,179.48,160.44,163.26,152.63,155.01,61.82,0.025,104487900
1/4/2022,177.2,161.06,163.81,152.96,155.45,50.67,-0.013,99310400
1/5/2022,172.49,161.58,164.15,153.22,155.79,54.83,-0.027,94537600
1/6/2022,169.61,162.03,164.36,153.44,156.07,51.46,-0.017,96904000
1/7/2022,169.78,162.5,164.57,153.65,156.34,54.3,0.001,86709100
1/10/2022,169.8,162.89,164.78,153.87,156.6,48.39,0,106765600
1/11/2022,172.65,163.39,165.09,154.15,156.92,48.89,0.017,76138300
1/12/2022,173.09,163.92,165.4,154.44,157.24,48.5,0.003,74805200
1/13/2022,169.8,164.36,165.57,154.67,157.49,33.22,-0.019,84505800
1/14/2022,170.67,164.79,165.77,154.9,157.75,37.1,0.005,80440800
1/18/2022,167.44,165.17,165.84,155.1,157.94,32.44,-0.019,90956700
1/19/2022,163.92,165.46,165.76,155.28,158.06,29.83,-0.021,94815000
1/20/2022,162.22,165.74,165.62,155.45,158.14,28.77,-0.01,91420500
1/21/2022,160.15,165.97,165.41,155.58,158.18,15.52,-0.013,122848900
1/24/2022,159.37,166.24,165.17,155.67,158.21,16.39,-0.005,162294600
1/25/2022,157.56,166.47,164.87,155.75,158.19,18.41,-0.011,115798400
1/26/2022,157.47,166.67,164.58,155.82,158.18,20.87,-0.001,108275300
1/27/2022,157.01,166.85,164.29,155.88,158.16,19.79,-0.003,121954600
1/28/2022,167.96,167.23,164.43,156.04,158.35,47.14,0.07,179935700
1/31/2022,172.35,167.65,164.74,156.21,158.63,49.56,0.026,115541600
2/1/2022,172.18,167.98,165.03,156.41,158.9,48.64,-0.001,86213900
2/2/2022,173.4,168.28,165.36,156.62,159.18,55.76,0.007,84914300
2/3/2022,170.5,168.51,165.56,156.86,159.41,49.75,-0.017,89418100
2/4/2022,170.21,168.74,165.75,157.08,159.62,54.57,-0.003,82465400
2/7/2022,169.49,168.93,165.89,157.32,159.82,60.11,-0.004,77251200
2/8/2022,172.62,169.29,166.16,157.57,160.07,67.94,0.018,74829200
2/9/2022,174.05,169.61,166.47,157.85,160.35,74.52,0.008,71285000
2/10/2022,169.94,169.75,166.6,158.11,160.54,66.69,-0.024,90865900
