Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
1/4/2016,91.97,91.36,90.97,86.67,87.95,45.68,-0.021,2993800,3.02,3.02
1/5/2016,92.34,91.44,91.02,86.76,88.04,44.22,0.004,1821300,2.98,3.012
1/6/2016,91.02,91.51,91.02,86.82,88.1,34.15,-0.014,1674000,2.92,2.9936
1/7/2016,89.11,91.51,90.95,86.85,88.12,32.89,-0.021,2717800,2.83,2.96088
1/8/2016,87.85,91.51,90.83,86.87,88.11,36.93,-0.014,2263400,2.72,2.912704
1/11/2016,89.38,91.52,90.77,86.89,88.14,42.25,0.017,2362200,2.63,2.8561632
1/12/2016,89.82,91.56,90.73,86.94,88.17,34.25,0.005,2370500,2.56,2.79693056
1/13/2016,88.3,91.55,90.64,86.99,88.17,26.01,-0.017,3409100,2.47,2.731544448
1/14/2016,89.8,91.55,90.61,87.1,88.21,34.42,0.017,4087500,2.4,2.665235558
1/15/2016,89.17,91.53,90.55,87.25,88.23,33.2,-0.007,3937500,2.32,2.596188447
1/19/2016,89.18,91.49,90.5,87.4,88.24,27.8,0,3680600,2.26,2.528950757
1/20/2016,87.94,91.44,90.39,87.5,88.24,25.6,-0.014,3667200,2.15,2.453160606
1/21/2016,88,91.38,90.3,87.6,88.23,28.42,0.001,4298700,2.07,2.376528485
1/22/2016,89.63,91.38,90.27,87.7,88.26,41.28,0.019,5390100,2.01,2.303222788
1/25/2016,86.77,91.31,90.14,87.78,88.23,32.5,-0.032,3945000,1.91,2.22457823
1/26/2016,86.89,91.22,90.01,87.89,88.21,35.96,0.001,2745700,1.8,2.139662584
1/27/2016,84.85,91.1,89.81,87.97,88.14,35.65,-0.023,3070600,1.67,2.045730067
1/28/2016,84.52,91.01,89.6,88.03,88.07,38.03,-0.004,5315500,1.53,1.942584054
1/29/2016,89.13,91,89.58,88.15,88.09,49.26,0.055,4679500,1.49,1.852067243
2/1/2016,89.61,90.99,89.58,88.25,88.12,49.38,0.005,2893100,1.46,1.773653794
2/2/2016,87.95,90.92,89.52,88.34,88.12,48.98,-0.019,3070900,1.4,1.698923036
2/3/2016,87.99,90.84,89.46,88.43,88.11,44.24,0,3185700,1.35,1.629138428
2/4/2016,86.36,90.74,89.34,88.51,88.08,41.59,-0.019,3417400,1.26,1.555310743
2/5/2016,79.2,90.48,88.94,88.51,87.9,29.09,-0.083,10644200,1.04,1.452248594
2/8/2016,74.94,90.14,88.39,88.47,87.65,25.82,-0.054,12910000,0.74,1.309798875
2/9/2016,73.85,89.78,87.82,88.4,87.37,24.65,-0.015,6697400,0.45,1.1378391
2/10/2016,75.53,89.45,87.34,88.35,87.14,24.79,0.023,6465300,0.2,0.95027128
2/11/2016,74.94,89.12,86.85,88.29,86.9,26.98,-0.008,4984700,-0.05,0.750217024
2/12/2016,76.67,88.8,86.45,88.22,86.69,31.28,0.023,4368700,-0.24,0.552173619
2/16/2016,78.88,88.54,86.16,88.17,86.54,39.13,0.029,4736400,-0.38,0.365738895
2/17/2016,81.85,88.38,85.99,88.13,86.45,45.57,0.038,4474200,-0.46,0.200591116
2/18/2016,80.53,88.14,85.77,88.1,86.33,33.97,-0.016,3560300,-0.56,0.048472893
2/19/2016,80.87,87.96,85.58,88.07,86.22,33.62,0.004,3928900,-0.64,-0.089221686
2/22/2016,83.8,87.8,85.51,88.11,86.17,42.58,0.036,3615500,-0.66,-0.203377348
2/23/2016,83.07,87.67,85.42,88.14,86.11,41.41,-0.009,2958400,-0.69,-0.300701879
2/24/2016,83.42,87.56,85.34,88.15,86.06,44.63,0.004,2667300,-0.72,-0.384561503
2/25/2016,86.68,87.47,85.39,88.18,86.07,65.94,0.039,3284000,-0.68,-0.443649202
2/26/2016,86.6,87.33,85.44,88.21,86.08,80.24,-0.001,3723200,-0.64,-0.482919362
2/29/2016,85.15,87.16,85.43,88.2,86.06,78.77,-0.017,3156400,-0.63,-0.51233549
3/1/2016,88.37,87.01,85.54,88.23,86.11,80.31,0.038,3603900,-0.57,-0.523868392
3/2/2016,88.39,86.9,85.65,88.31,86.15,82.63,0,2863500,-0.5,-0.519094713
3/3/2016,87.21,86.81,85.71,88.36,86.17,76.27,-0.013,3082100,-0.46,-0.507275771
3/4/2016,86.18,86.71,85.73,88.38,86.17,69.33,-0.012,3002500,-0.44,-0.493820617
3/7/2016,85.11,86.53,85.71,88.39,86.15,59.6,-0.012,3121300,-0.44,-0.483056493
3/8/2016,84.35,86.32,85.65,88.4,86.12,61.63,-0.009,3245700,-0.47,-0.480445195
3/9/2016,85.27,86.14,85.64,88.42,86.1,62.94,0.011,2491500,-0.46,-0.476356156
3/10/2016,84.85,85.96,85.61,88.4,86.08,53.62,-0.005,2969700,-0.47,-0.475084925
3/11/2016,86,85.77,85.62,88.37,86.07,59.83,0.014,3330400,-0.45,-0.47006794
3/14/2016,87.01,85.6,85.68,88.36,86.09,61.53,0.012,3754500,-0.41,-0.458054352
3/15/2016,86.83,85.46,85.72,88.36,86.11,50.6,-0.002,2909600,-0.39,-0.444443481
3/16/2016,88.17,85.39,85.82,88.38,86.15,55.71,0.015,3383000,-0.33,-0.421554785
3/17/2016,89.96,85.34,85.98,88.39,86.22,67.07,0.02,6914600,-0.24,-0.385243828
3/18/2016,93.42,85.39,86.27,88.45,86.37,67.62,0.038,12530100,-0.1,-0.328195062
3/21/2016,92.5,85.45,86.52,88.48,86.49,63.49,-0.01,4657300,0.03,-0.25655605
3/22/2016,92.56,85.55,86.75,88.53,86.61,68.96,0.001,4475800,0.14,-0.17724484
3/23/2016,92.16,85.6,86.97,88.56,86.72,72.18,-0.004,2767600,0.25,-0.091795872
3/24/2016,92.52,85.66,87.18,88.61,86.83,79.01,0.004,3266800,0.35,-0.003436698
3/28/2016,92.4,85.74,87.39,88.65,86.94,83.18,-0.001,2283000,0.45,0.087250642
3/29/2016,93.22,85.81,87.62,88.68,87.07,83.04,0.009,4248600,0.55,0.179800514
3/30/2016,93.78,85.9,87.86,88.71,87.2,86.69,0.006,6797200,0.66,0.275840411
3/31/2016,93.8,85.99,88.09,88.74,87.33,85.33,0,6561400,0.76,0.372672329
4/1/2016,95.16,86.14,88.37,88.79,87.49,85.78,0.014,3981300,0.88,0.474137863
4/4/2016,94.5,86.27,88.61,88.83,87.63,82.31,-0.007,2398300,0.98,0.57531029
4/5/2016,94.17,86.36,88.83,88.87,87.75,77.62,-0.003,2472600,1.08,0.676248232
4/6/2016,95.4,86.53,89.09,88.92,87.91,76.41,0.013,2705700,1.18,0.776998586
4/7/2016,93.78,86.67,89.27,88.95,88.02,52.13,-0.017,2370500,1.25,0.871598869
4/8/2016,94.07,86.85,89.46,88.98,88.14,60.03,0.003,2063100,1.32,0.961279095
4/11/2016,92.95,87.02,89.59,89.02,88.24,52.19,-0.012,2165100,1.35,1.039023276
4/12/2016,93.42,87.11,89.74,89.05,88.34,57.03,0.005,2079000,1.4,1.111218621
4/13/2016,94.53,87.21,89.93,89.1,88.46,60.35,0.012,2055000,1.47,1.182974897
4/14/2016,94.44,87.34,90.11,89.13,88.58,60.54,-0.001,1764000,1.53,1.252379917
4/15/2016,95.16,87.48,90.31,89.16,88.71,60.13,0.008,2187400,1.6,1.321903934
4/18/2016,96.55,87.68,90.55,89.21,88.87,63.3,0.015,2174900,1.68,1.393523147
4/19/2016,96.52,88.03,90.79,89.26,89.02,63.05,0,2507100,1.77,1.468818518
4/20/2016,96.33,88.46,91,89.3,89.16,56.32,-0.002,2712100,1.84,1.543054814
4/21/2016,96.37,88.91,91.21,89.34,89.31,60.83,0,2066900,1.9,1.614443851
4/22/2016,94.79,89.29,91.35,89.37,89.41,53.14,-0.016,3797900,1.94,1.679555081
4/25/2016,95.8,89.71,91.53,89.41,89.54,52.07,0.011,2047000,1.99,1.741644065
4/26/2016,96.15,90.1,91.71,89.45,89.67,64.12,0.004,1419300,2.04,1.801315252
4/27/2016,95.64,90.44,91.86,89.49,89.79,59.12,-0.005,2082800,2.07,1.855052201
4/28/2016,93.64,90.67,91.93,89.52,89.87,53.64,-0.021,3497700,2.06,1.896041761
4/29/2016,94.22,90.94,92.02,89.54,89.95,54.17,0.006,3163800,2.07,1.930833409
5/2/2016,94.9,91.23,92.14,89.59,90.05,52.02,0.007,2330600,2.09,1.962666727
5/3/2016,93.66,91.42,92.2,89.61,90.12,46.22,-0.013,1811400,2.08,1.986133382
5/4/2016,92.94,91.62,92.23,89.65,90.18,39.24,-0.008,1710700,2.05,1.998906705
5/5/2016,93.5,91.82,92.28,89.69,90.24,33.93,0.006,1894800,2.04,2.007125364
5/6/2016,94.3,91.97,92.35,89.72,90.32,39.18,0.009,1465000,2.03,2.011700291
5/9/2016,94.61,92.13,92.44,89.73,90.41,41.71,0.003,1406900,2.03,2.015360233
5/10/2016,96.52,92.36,92.6,89.76,90.53,50.61,0.02,1808400,2.07,2.026288187
5/11/2016,96.1,92.52,92.74,89.76,90.64,55.91,-0.004,1569100,2.1,2.041030549
5/12/2016,95.96,92.67,92.87,89.78,90.75,50.78,-0.001,1198100,2.12,2.056824439
5/13/2016,95.97,92.84,92.99,89.83,90.85,49.09,0,2221100,2.14,2.073459552
5/16/2016,97.23,93.06,93.15,89.88,90.97,57.48,0.013,1918500,2.18,2.094767641
5/17/2016,95.93,93.28,93.26,89.91,91.07,61.53,-0.013,3279600,2.19,2.113814113
5/18/2016,96.7,93.53,93.4,89.93,91.18,62.25,0.008,2010400,2.22,2.13505129
5/19/2016,95.88,93.74,93.5,89.94,91.28,54.78,-0.008,1988400,2.22,2.152041032
5/20/2016,96.88,93.98,93.63,89.97,91.39,66.07,0.01,2217900,2.24,2.169632826
5/23/2016,96.62,94.19,93.75,89.98,91.49,69.25,-0.003,1095900,2.26,2.187706261
5/24/2016,99.63,94.44,93.98,90.02,91.65,75.52,0.031,3014800,2.33,2.216165009
5/25/2016,99.61,94.7,94.2,90.08,91.81,73.64,0,1954500,2.39,2.250932007
5/26/2016,99.37,94.92,94.4,90.16,91.96,71.33,-0.002,1970900,2.44,2.288745605
5/27/2016,100.14,95.13,94.63,90.23,92.12,68.06,0.008,1603600,2.51,2.332996484
5/31/2016,99.47,95.25,94.82,90.32,92.27,66.41,-0.007,3480500,2.55,2.376397187
6/1/2016,100.04,95.4,95.02,90.43,92.42,69.07,0.006,1662600,2.6,2.42111775
6/2/2016,100.17,95.55,95.22,90.55,92.58,69.41,0.001,1761700,2.64,2.4648942
6/3/2016,98.7,95.68,95.36,90.64,92.7,56.66,-0.015,2417000,2.66,2.50391536
6/6/2016,99.12,95.81,95.51,90.74,92.82,65.71,0.004,1395800,2.69,2.541132288
6/7/2016,98.52,95.94,95.62,90.84,92.94,59.12,-0.006,2143900,2.68,2.56890583
6/8/2016,98.68,96.05,95.74,90.93,93.05,65.02,0.002,2078700,2.69,2.593124664
6/9/2016,98.07,96.13,95.84,91.02,93.15,56.66,-0.006,1609400,2.69,2.612499731
6/10/2016,97.09,96.2,95.88,91.1,93.23,52.44,-0.01,1863800,2.65,2.619999785
6/13/2016,96.96,96.23,95.93,91.19,93.3,30.28,-0.001,2291500,2.63,2.621999828
