Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
1/3/2022,564.37,632.96,614.28,630.52,614.25,31.93,-0.005,2862700
1/4/2022,554,631.17,611.91,629.72,613.06,21.65,-0.018,4344800
1/5/2022,514.43,628.52,608.09,628.49,611.11,26.51,-0.071,7394800
1/6/2022,514.12,625.95,604.4,627.26,609.19,28.91,-0.001,3913600
1/7/2022,510.7,623.37,600.73,626.02,607.24,29.94,-0.007,3605400
1/10/2022,525.83,621.1,597.79,625.01,605.62,34.87,0.03,5429700
1/11/2022,529.89,618.69,595.13,623.93,604.12,33.35,0.008,3422200
1/12/2022,532.37,616.53,592.67,622.78,602.7,31.22,0.005,2901800
1/13/2022,516.9,614.06,589.7,621.38,601,21.49,-0.029,3406500
1/14/2022,520.6,611.37,586.99,620.01,599.41,26.09,0.007,2659800
1/18/2022,513.34,608.15,584.1,618.58,597.71,24.37,-0.014,3461000
1/19/2022,516.58,605.23,581.45,617.22,596.1,25.74,0.006,2985900
1/20/2022,510.85,602.13,578.68,615.74,594.41,25.22,-0.011,3208100
1/21/2022,499.91,598.77,575.59,614.08,592.54,23.51,-0.021,4276100
1/24/2022,519.66,596.21,573.4,612.64,591.1,36.9,0.04,7538000
1/25/2022,502.72,593.4,570.63,611.01,589.35,44.6,-0.033,4051500
1/26/2022,500.81,590.27,567.89,609.37,587.59,43.95,-0.004,4449500
1/27/2022,493.05,586.93,564.96,607.64,585.72,42.28,-0.015,5865400
1/28/2022,518.16,583.87,563.12,606.21,584.38,46.92,0.051,4339000
1/31/2022,534.3,581.15,561.99,604.92,583.39,51.62,0.031,3995100
2/1/2022,535.98,578.45,560.97,603.66,582.45,51.33,0.003,2307400
2/2/2022,533.09,575.34,559.88,602.4,581.48,56.58,-0.005,2494100
2/3/2022,510.83,572.09,557.95,601.06,580.08,46.55,-0.042,3058700
2/4/2022,513.54,569.06,556.21,599.74,578.76,50.07,0.005,2583700
2/7/2022,507.1,565.83,554.29,598.2,577.34,46.62,-0.013,3120500
2/8/2022,511.31,562.81,552.6,596.67,576.03,50.17,0.008,3205500
2/9/2022,521.75,559.5,551.39,595.34,574.96,57.9,0.02,2542200
2/10/2022,495.02,556,549.18,593.88,573.38,41.52,-0.051,4735800
2/11/2022,473.97,552.33,546.23,592.16,571.41,40.37,-0.043,5027000
2/14/2022,474.01,548.38,543.4,590.64,569.48,40.91,0,3372100
2/15/2022,479.5,545.64,540.89,589.12,567.7,45.33,0.012,3743100
