Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
1/4/2016,31.85,32.77,32.23,29.55,0.93,41.34,-0.058,186290000,31.3,31.3
1/5/2016,31.69,32.84,32.21,29.61,0.91,39.92,-0.005,116452000,31.3,31.3
1/6/2016,31.63,32.87,32.18,29.66,0.92,29.91,-0.002,106584000,31.26,31.292
1/7/2016,30.4,32.87,32.11,29.7,0.96,25.29,-0.039,141498000,31.15,31.2636
1/8/2016,30.35,32.87,32.05,29.73,0.95,26.47,-0.001,110258000,31.1,31.23088
1/11/2016,30.89,32.87,32,29.77,0.94,32.23,0.018,97832000,31.06,31.196704
1/12/2016,30.89,32.86,31.96,29.82,0.94,32.65,0,94482000,31.02,31.1613632
1/13/2016,29.09,32.81,31.84,29.85,0.95,25.32,-0.058,153104000,30.89,31.10709056
1/14/2016,29.65,32.78,31.76,29.9,0.95,30.2,0.019,144760000,30.81,31.04767245
1/15/2016,28.51,32.72,31.63,29.95,0.94,21.86,-0.038,155690000,30.69,30.97613796
1/19/2016,28.72,32.66,31.52,30,0.96,15.29,0.008,96144000,30.56,30.89291037
1/20/2016,28.59,32.57,31.4,30.04,0.95,15.49,-0.005,159328000,30.45,30.80432829
1/21/2016,28.75,32.49,31.3,30.07,0.95,18.48,0.006,99044000,30.35,30.71346263
1/22/2016,29.82,32.43,31.24,30.11,0.95,35.75,0.037,102402000,30.29,30.62877011
1/25/2016,29.83,32.37,31.18,30.15,0.95,36.64,0,87922000,30.23,30.54901609
1/26/2016,30.06,32.29,31.14,30.2,0.96,39.02,0.008,75314000,30.18,30.47521287
1/27/2016,29.17,32.21,31.06,30.24,0.96,40.97,-0.03,103058000,30.1,30.4001703
1/28/2016,31.77,32.2,31.09,30.3,0.95,57.55,0.089,280304000,30.14,30.34813624
1/29/2016,29.35,32.14,31.02,30.35,0.95,43.17,-0.076,293552000,30.07,30.29250899
2/1/2016,28.74,32.08,30.93,30.38,0.95,40.91,-0.021,127102000,29.98,30.23000719
2/2/2016,27.6,31.96,30.8,30.39,0.93,43.36,-0.04,126240000,29.87,30.15800575
2/3/2016,26.55,31.83,30.64,30.4,0.92,36.74,-0.038,200974000,29.72,30.0704046
2/4/2016,26.81,31.7,30.49,30.4,0.89,42.14,0.01,123982000,29.6,29.97632368
2/5/2016,25.11,31.52,30.27,30.39,0.83,35.28,-0.064,194178000,29.44,29.86905895
2/8/2016,24.41,31.34,30.04,30.38,0.86,33.72,-0.028,196510000,29.18,29.73124716
2/9/2016,24.1,31.15,29.81,30.35,0.85,32.11,-0.012,141558000,28.96,29.57699773
2/10/2016,24.52,30.97,29.6,30.33,0.88,28.55,0.017,135724000,28.72,29.40559818
2/11/2016,25.19,30.8,29.43,30.31,0.88,32.17,0.027,147948000,28.55,29.23447854
2/12/2016,25.35,30.63,29.27,30.29,0.88,31.79,0.006,107696000,28.39,29.06558284
2/16/2016,26.06,30.48,29.15,30.28,0.87,37.78,0.028,102370000,28.28,28.90846627
2/17/2016,26.7,30.35,29.05,30.28,0.87,26.53,0.025,96480000,28.18,28.76277301
2/18/2016,26.25,30.2,28.94,30.28,0.87,32.43,-0.017,94700000,28.07,28.62421841
2/19/2016,26.75,30.06,28.85,30.28,0.88,38.54,0.019,99494000,27.97,28.49337473
2/22/2016,27.98,29.95,28.82,30.31,0.85,52.1,0.046,111332000,27.97,28.38869978
2/23/2016,27.65,29.83,28.77,30.34,0.85,56.77,-0.012,81016000,27.92,28.29495983
2/24/2016,27.7,29.73,28.73,30.36,0.86,55.65,0.002,124634000,27.87,28.20996786
2/25/2016,27.76,29.64,28.69,30.38,0.85,71.3,0.002,90510000,27.84,28.13597429
2/26/2016,27.76,29.54,28.66,30.39,0.86,80.37,0,97540000,27.8,28.06877943
2/29/2016,27.63,29.43,28.62,30.39,0.87,82.86,-0.005,82908000,27.75,28.00502355
3/1/2016,28.95,29.33,28.63,30.41,0.86,85.34,0.048,100770000,27.77,27.95801884
3/2/2016,29.01,29.24,28.64,30.43,0.86,83.76,0.002,91644000,27.78,27.92241507
3/3/2016,28.87,29.16,28.65,30.45,0.86,81.27,-0.005,54826000,27.79,27.89593206
3/4/2016,28.76,29.07,28.66,30.47,0.86,76.77,-0.004,68330000,27.8,27.87674564
3/7/2016,28.14,28.97,28.64,30.48,0.88,64.31,-0.021,98538000,27.76,27.85339652
3/8/2016,28.01,28.86,28.61,30.48,0.88,68.82,-0.005,94600000,27.73,27.82871721
3/9/2016,27.97,28.76,28.59,30.49,0.89,64.52,-0.001,87546000,27.7,27.80297377
