Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
1/3/2022,170.4,172.7,171.54,170.3,0.94,52.45,0.022,63520000
1/4/2022,167.52,172.72,171.38,170.32,0.92,38.61,-0.017,70726000
1/5/2022,164.36,172.68,171.1,170.32,0.92,40.65,-0.019,64302000
1/6/2022,163.25,172.57,170.8,170.3,0.92,35.97,-0.007,51958000
1/7/2022,162.55,172.43,170.47,170.31,0.93,39.65,-0.004,46606000
1/10/2022,161.49,172.21,170.12,170.32,0.94,27.21,-0.007,87798000
1/11/2022,165.36,172.15,169.93,170.38,0.91,37.58,0.024,62806000
1/12/2022,165.21,172.13,169.75,170.44,0.93,37.24,-0.001,50030000
1/13/2022,161.21,172.05,169.41,170.41,0.93,33.46,-0.024,52188000
1/14/2022,162.14,171.9,169.13,170.38,0.93,33.29,0.006,45974000
1/18/2022,158.92,171.61,168.73,170.32,0.93,31.14,-0.02,67292000
1/19/2022,156.3,171.21,168.24,170.23,0.94,28.95,-0.016,53242000
1/20/2022,151.67,170.76,167.59,170.07,0.94,26.5,-0.03,71974000
1/21/2022,142.64,170.03,166.61,169.78,0.96,12.85,-0.06,163972000
1/24/2022,144.54,169.44,165.75,169.5,0.97,18.42,0.013,155624000
1/25/2022,139.99,168.77,164.74,169.16,0.96,17.74,-0.032,90824000
1/26/2022,138.87,168.02,163.72,168.81,0.97,17.74,-0.008,95602000
1/27/2022,139.64,167.27,162.78,168.47,0.97,19.73,0.006,77516000
1/28/2022,143.98,166.61,162.04,168.16,0.96,28.71,0.031,74392000
1/31/2022,149.57,166.05,161.55,167.89,0.97,31.57,0.039,78308000
2/1/2022,151.19,165.38,161.15,167.66,0.96,34.19,0.011,59220000
2/2/2022,150.61,164.71,160.73,167.43,0.96,37.04,-0.004,87330000
2/3/2022,138.85,163.92,159.87,167.09,0.97,27.49,-0.078,225532000
2/4/2022,157.64,163.49,159.79,166.94,0.97,49.05,0.135,253456000
