Quarter Ending,3/30/2024,12/30/2023,9/30/2023,7/1/2023,4/1/2023,12/31/2022,9/24/2022,6/25/2022,3/26/2022,12/25/2021,9/25/2021,6/26/2021,3/27/2021,12/26/2020,9/26/2020,6/27/2020,3/28/2020,12/28/2019,9/28/2019,6/29/2019
Cash & Equivalents,32695,40760,29965,28408,24687,20535,23646,27502,28098,37119,34940,34050,38466,36010,38016,33383,40174,39771,48844,50530
Short-Term Investments,34455,32340,31590,34074,31185,30820,24658,20729,23413,26794,27699,27646,31368,40816,52927,59642,53877,67391,51713,44084
Cash & Cash Equivalents,162337,172575,162099,166543,166333,165450,169109,179308,192730,202596,190516,193644,204373,195571,191830,193617,192844,207061,205898,210610
Cash Growth,-2.40%,4.31%,-4.15%,-7.12%,-13.70%,-18.34%,-11.24%,-7.40%,-5.70%,3.59%,-0.68%,0.01%,5.98%,-5.55%,-6.83%,-8.07%,-14.45%,-15.50%,-13.16%,-13.59%
Receivables,41150,50102,60985,39186,35899,54180,60932,42242,45400,65253,51506,33908,33036,58620,37445,32075,30677,39946,45804,26474
Inventory,6232,6511,6331,7351,7482,6820,4946,5433,5460,5876,6580,5178,5219,4973,4061,3978,3334,4097,4106,3355
Other Current Assets,13884,13979,14695,13640,13660,16422,21223,16386,15809,18112,14111,13641,13376,13687,11264,10987,15691,12026,12352,10530
Total Current Assets,128416,143692,143566,122659,112913,128777,135405,112292,118180,153154,134836,114423,121465,154106,143713,140065,143753,163231,162819,134973
"Property, Plant & Equipment",43546,43666,43715,43550,43398,42951,42117,40335,39304,39245,39440,38615,37815,37933,36766,35687,35889,37031,37378,37636
Long-Term Investments,95187,99475,100544,104061,110461,114095,120805,131077,141219,138683,127877,131948,134539,118745,100887,100592,98793,99899,105341,115996
Other Long-Term Assets,70262,66681,64758,64768,65388,60924,54428,52605,51959,50109,48849,44854,43339,43270,42522,41000,41965,40457,32978,33634
Total Long-Term Assets,208995,209822,209017,212379,219247,217970,217350,224017,232482,228037,216166,215417,215693,199948,180175,177279,176647,177387,175697,187266
Total Assets,337411,353514,352583,335038,332160,346747,352755,336309,350662,381191,351002,329840,337158,354054,323888,317344,320400,340618,338516,322239
Accounts Payable,45753,58146,62611,46699,42945,57918,64115,48343,52682,74362,54763,40409,40127,63846,42296,35325,32421,45111,46236,29115
Deferred Revenue,8012,8264,8061,8158,8131,7992,7912,7728,7920,7876,7612,7681,7595,7395,6643,6313,5928,5573,5522,5434
Current Debt,12759,12952,15807,11209,12574,11483,21110,24991,16658,16169,15613,16039,13003,12762,13769,18675,20421,15214,16240,23482
Other Current Liabilities,57298,54611,58829,58897,56425,59893,60845,48811,50248,49167,47493,43625,45660,48504,42684,35005,37324,36263,37720,31673
Total Current Liabilities,123822,133973,145308,124963,120075,137286,153982,129873,127508,147574,125481,107754,106385,132507,105392,95318,96094,102161,105718,89704
Long-Term Debt,91831,95088,95281,98071,97041,99627,98959,94700,103323,106629,109106,105752,108642,99281,98667,94048,89086,93078,91807,84936
Other Long-Term Liabilities,47564,50353,49848,51730,52886,53107,49142,53629,52432,55056,53325,52054,52953,56042,54490,55696,56795,55848,50503,51143
Total Long-Term Liabilities,139395,145441,145129,149801,149927,152734,148101,148329,155755,161685,162431,157806,161595,155323,153157,149744,145881,148926,142310,136079
Total Liabilities,263217,279414,290437,274764,270002,290020,302083,278202,283263,309259,287912,265560,267980,287830,258549,245062,241975,251087,248028,225783
Total Debt,104590,108040,111088,109280,109615,111110,120069,119691,119981,122798,124719,121791,121645,112043,112436,112723,109507,108292,108047,108418
Debt Growth,-4.58%,-2.76%,-7.48%,-8.70%,-8.64%,-9.52%,-3.73%,-1.72%,-1.37%,9.60%,10.92%,8.04%,11.08%,3.46%,4.06%,3.97%,-2.77%,-5.61%,-5.62%,-5.39%
Retained Earnings,4339,8242,-214,1408,4336,3240,-3068,5289,12712,14435,5562,9233,15261,14301,14966,24136,33182,43977,45898,53724
Comprehensive Income,-8960,-9378,-11452,-11801,-11746,-12912,-11109,-9297,-6494,-927,163,58,-286,179,-406,-550,-2789,-418,-584,-639
Shareholders' Equity,74194,74100,62146,60274,62158,56727,50672,58107,67399,71932,63090,64280,69178,66224,65339,72282,78425,89531,90488,96456
Net Cash / Debt,57747,64535,51011,57263,56718,54340,49040,59617,72749,79798,65797,71853,82728,83528,79394,80894,83337,98769,97851,102192
Net Cash / Debt Growth,1.81%,18.76%,4.02%,-3.95%,-22.04%,-31.90%,-25.47%,-17.03%,-12.06%,-4.47%,-17.13%,-11.18%,-0.73%,-15.43%,-18.86%,-20.84%,-26.11%,-24.20%,-20.20%,-20.87%
Net Cash Per Share,3.73,4.14,3.25,3.63,3.58,3.41,3.04,3.67,4.44,4.83,3.96,4.28,4.89,4.88,4.6,4.64,4.73,5.54,5.41,5.55
Working Capital,4594,9719,-1742,-2304,-7162,-8509,-18577,-17581,-9328,5580,9355,6669,15080,21599,38321,44747,47659,61070,57101,45269
Book Value Per Share,4.82,4.78,3.98,3.84,3.94,3.57,3.16,3.6,4.14,4.39,3.83,3.87,4.13,3.91,3.83,4.19,4.5,5.07,5.04,5.28
