Quarter Ending,3/30/2024,12/30/2023,9/30/2023,7/1/2023,4/1/2023,12/31/2022,9/24/2022,6/25/2022,3/26/2022,12/25/2021,9/25/2021,6/26/2021,3/27/2021,12/26/2020,9/26/2020,6/27/2020,3/28/2020,12/28/2019,9/28/2019,6/29/2019
Revenue,90753,119575,89498,81797,94836,117154,90146,82959,97278,123945,83360,81434,89584,111439,64698,59685,58313,91819,64040,53809
Revenue Growth (YoY),-4.31%,2.07%,-0.72%,-1.40%,-2.51%,-5.48%,8.14%,1.87%,8.59%,11.22%,28.84%,36.44%,53.63%,21.37%,1.03%,10.92%,0.51%,8.91%,1.81%,1.02%
Cost of Revenue,48482,64720,49071,45384,52860,66822,52051,47074,54719,69702,48186,46179,51505,67111,40009,37005,35943,56602,39727,33582
Gross Profit,42271,54855,40427,36413,41976,50332,38095,35885,42559,54243,35174,35255,38079,44328,24689,22680,22370,35217,24313,20227
"Selling, General & Admin",6468,6786,6151,5973,6201,6607,6440,6012,6193,6449,5616,5412,5314,5631,4936,4831,4952,5197,4578,4426
Research & Development,7903,7696,7307,7442,7457,7709,6761,6797,6387,6306,5772,5717,5262,5163,4978,4758,4565,4451,4110,4257
Operating Expenses,14371,14482,13458,13415,13658,14316,13201,12809,12580,12755,11388,11129,10576,10794,9914,9589,9517,9648,8688,8683
Operating Income,27900,40373,26969,22998,28318,36016,24894,23076,29979,41488,23786,24126,27503,33534,14775,13091,12853,25569,15625,11544
Interest Expense / Income,0,0,1002,998,0,0,827,719,691,694,672,665,670,638,634,697,757,785,810,866
Other Expense / Income,-158,50,-1031,-733,-64,393,-590,-709,-851,-447,-134,-908,-1178,-683,-760,-743,-1039,-1134,-1312,-1233
Pretax Income,28058,40323,26998,22733,28382,35623,24657,23066,30139,41241,23248,24369,28011,33579,14901,13137,13135,25918,16127,11911
Income Tax,4422,6407,4042,2852,4222,5625,3936,3624,5129,6611,2697,2625,4381,4824,2228,1884,1886,3682,2441,1867
Net Income,23636,33916,22956,19881,24160,29998,20721,19442,25010,34630,20551,21744,23630,28755,12673,11253,11249,22236,13686,10044
Net Income Growth,-2.17%,13.06%,10.79%,2.26%,-3.40%,-13.38%,0.83%,-10.59%,5.84%,20.43%,62.16%,93.23%,110.06%,29.32%,-7.40%,12.04%,-2.70%,11.37%,-3.11%,-12.80%
Shares Outstanding (Basic),15406,15510,15599,15698,15787,15893,16030,16163,16279,16392,16487,16629,16753,16935,17058,17250,17440,17660,17963,18283
Shares Outstanding (Diluted),15465,15577,15672,15775,15847,15956,16118,16262,16403,16519,16635,16782,16929,17114,17257,17419,17619,17818,18081,18406
Shares Change,-2.41%,-2.38%,-2.77%,-3.00%,-3.39%,-3.41%,-3.11%,-3.10%,-3.11%,-3.47%,-3.60%,-3.66%,-3.91%,-3.96%,-4.56%,-5.36%,-6.30%,-6.68%,-6.75%,-6.60%
EPS (Basic),1.53,2.19,1.47,1.27,1.53,1.89,1.29,1.2,1.54,2.11,1.25,1.31,1.41,1.7,0.75,0.65,0.64,1.26,0.76,0.55
EPS (Diluted),1.53,2.18,1.46,1.26,1.52,1.88,1.29,1.2,1.52,2.1,1.23,1.3,1.4,1.68,0.74,0.65,0.64,1.25,0.76,0.55
EPS Growth,0.66%,15.96%,13.18%,5.00%,0%,-10.48%,4.88%,-7.69%,8.57%,25.00%,66.22%,100.00%,118.75%,34.40%,-1.99%,19.27%,4.07%,19.62%,3.14%,-6.84%
Free Cash Flow,20694,37503,19435,24287,25644,30218,20838,20790,25652,44163,16977,19001,21712,35263,18792,14706,11458,28409,17133,9636
Free Cash Flow Per Share,1.34,2.42,1.25,1.55,1.62,1.9,1.3,1.29,1.58,2.69,1.03,1.14,1.3,2.08,1.1,0.85,0.66,1.61,0.95,0.53
Dividend Per Share,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.205,0.205,0.205,0.205,0.193,0.193,0.193,0.193
Dividend Growth,4.35%,4.35%,4.35%,4.35%,4.55%,4.55%,4.55%,4.55%,7.32%,7.32%,7.32%,7.32%,6.22%,6.22%,6.22%,6.22%,6.04%,6.04%,6.04%,6.04%
Gross Margin,46.58%,45.87%,45.17%,44.52%,44.26%,42.96%,42.26%,43.26%,43.75%,43.76%,42.20%,43.29%,42.51%,39.78%,38.16%,38.00%,38.36%,38.35%,37.97%,37.59%
Operating Margin,30.74%,33.76%,30.13%,28.12%,29.86%,30.74%,27.62%,27.82%,30.82%,33.47%,28.53%,29.63%,30.70%,30.09%,22.84%,21.93%,22.04%,27.85%,24.40%,21.45%
Profit Margin,26.04%,28.36%,25.65%,24.31%,25.48%,25.61%,22.99%,23.44%,25.71%,27.94%,24.65%,26.70%,26.38%,25.80%,19.59%,18.85%,19.29%,24.22%,21.37%,18.67%
Free Cash Flow Margin,22.80%,31.36%,21.72%,29.69%,27.04%,25.79%,23.12%,25.06%,26.37%,35.63%,20.37%,23.33%,24.24%,31.64%,29.05%,24.64%,19.65%,30.94%,26.75%,17.91%
Effective Tax Rate,15.76%,15.89%,14.97%,12.55%,14.88%,15.79%,15.96%,15.71%,17.02%,16.03%,11.60%,10.77%,15.64%,14.37%,14.95%,14.34%,14.36%,14.21%,15.14%,15.67%
EBITDA,30894,43171,30653,26783,31280,38539,28349,26590,33567,44632,26909,27866,31478,36883,18237,16586,16678,29519,20116,15710
EBITDA Margin,34.04%,36.10%,34.25%,32.74%,32.98%,32.90%,31.45%,32.05%,34.51%,36.01%,32.28%,34.22%,35.14%,33.10%,28.19%,27.79%,28.60%,32.15%,31.41%,29.20%
Depreciation & Amortization,2836,2848,2653,3052,2898,2916,2865,2805,2737,2697,2989,2832,2797,2666,2702,2752,2786,2816,3179,2933
EBIT,28058,40323,28000,23731,28382,35623,25484,23785,30830,41935,23920,25034,28681,34217,15535,13834,13892,26703,16937,12777
EBIT Margin,30.92%,33.72%,31.29%,29.01%,29.93%,30.41%,28.27%,28.67%,31.69%,33.83%,28.69%,30.74%,32.02%,30.70%,24.01%,23.18%,23.82%,29.08%,26.45%,23.75%
