Quarter Ending,5/31/2024,3/1/2024,12/1/2023,9/1/2023,6/2/2023,3/3/2023,12/2/2022,9/2/2022,6/3/2022,3/4/2022,12/3/2021,9/3/2021,6/4/2021,3/5/2021,11/27/2020,8/28/2020,5/29/2020,2/28/2020,11/29/2019,8/30/2019
Net Income,1573,620,1483,1403,1295,1247,1176,1136,1178,1266,1233,1212,1116,1261,2250,955,1100,955,851,793
Depreciation & Amortization,233,230,240,236,235,233,235,237,232,235,225,213,208,215,212,214,209,209,191,193
Share-Based Compensation,467,451,427,442,433,416,388,378,352,322,269,280,260,260,233,232,227,217,203,196
Other Operating Activities,-333,-127,-553,-208,176,-203,526,-47,278,-54,339,-301,404,36,-913,35,-352,-56,132,-260
Operating Cash Flow,1940,1174,1597,1873,2139,1693,2325,1704,2040,1769,2066,1404,1988,1772,1782,1436,1184,1325,1377,922
Operating Cash Flow Growth,-9.30%,-30.66%,-31.31%,9.92%,4.85%,-4.30%,12.54%,21.37%,2.62%,-0.17%,15.94%,-2.23%,67.91%,33.74%,29.41%,55.75%,6.67%,30.80%,24.31%,-3.49%
Capital Expenditures,-41,-37,-47,-91,-121,-101,-91,-125,-126,-100,-99,-95,-95,-59,-103,-126,-96,-94,-95,-89
Acquisitions,0,0,0,0,0,0,0,0,-20,-106,-1212,0,0,-1470,0,0,0,0,-1,0
Change in Investments,152,103,200,236,443,257,22,22,8,-54,-428,-38,-12,-29,-28,-189,176,46,-73,-76
Investing Cash Flow,111,66,153,145,322,156,-69,-103,-138,-260,-1739,-133,-107,-1558,-131,-315,80,-48,-169,-165
Share Issuance / Repurchase,-2500,-1903,-1000,-756,-999,-1331,-1750,-1013,-1200,-2309,-999,-797,-1000,-863,-850,-319,-849,-762,-749,-592
Debt Issued / Paid,1997,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,-6,0,0
Other Financing Activities,-139,-225,-217,-115,-81,-183,-161,-47,-50,-295,-79,-102,-80,-381,-90,-95,-52,-465,-17,-32
Financing Cash Flow,-642,-2128,-1217,-871,-1080,-2014,-1911,-1060,-1250,-2604,-1078,-899,-1080,-1244,-940,-414,-901,-1233,-766,-624
Exchange Rate Effect,-3,1,7,-2,3,1,21,-36,-26,-10,-28,1,-3,4,0,16,-7,-6,-1,-7
Net Cash Flow,1406,-887,540,1145,1384,-164,366,505,626,-1105,-779,373,798,-1026,711,723,356,38,441,126
Free Cash Flow,1899,1137,1550,1782,2018,1592,2234,1579,1914,1669,1967,1309,1893,1713,1679,1310,1088,1231,1282,833
Free Cash Flow Growth,-5.90%,-28.58%,-30.62%,12.86%,5.43%,-4.61%,13.57%,20.63%,1.11%,-2.57%,17.15%,-0.08%,73.99%,39.16%,30.97%,57.26%,12.86%,29.85%,22.71%,-6.59%
Free Cash Flow Margin,35.77%,21.94%,30.71%,36.44%,41.90%,34.20%,49.37%,35.62%,43.64%,39.16%,47.86%,33.27%,49.36%,43.87%,49.04%,40.62%,34.78%,39.83%,42.85%,29.39%
Free Cash Flow Per Share,4.23,2.51,3.41,3.91,4.41,3.47,4.78,3.37,4.05,3.53,4.15,2.74,3.96,3.58,3.49,2.73,2.26,2.55,2.65,1.71
