Quarter Ending,5/31/2024,3/1/2024,12/1/2023,9/1/2023,6/2/2023,3/3/2023,12/2/2022,9/2/2022,6/3/2022,3/4/2022,12/3/2021,9/3/2021,6/4/2021,3/5/2021,11/27/2020,8/28/2020,5/29/2020,2/28/2020,11/29/2019,8/30/2019
Revenue,5309,5182,5048,4890,4816,4655,4525,4433,4386,4262,4110,3935,3835,3905,3424,3225,3128,3091,2992,2834
Revenue Growth (YoY),10.24%,11.32%,11.56%,10.31%,9.80%,9.22%,10.10%,12.66%,14.37%,9.14%,20.04%,22.02%,22.60%,26.33%,14.44%,13.80%,13.99%,18.84%,21.40%,23.70%
Cost of Revenue,598,590,634,580,572,568,568,546,539,512,507,467,444,447,428,427,415,452,452,416
Gross Profit,4711,4592,4414,4310,4244,4087,3957,3887,3847,3750,3603,3468,3391,3458,2996,2798,2713,2639,2540,2418
"Selling, General & Admin",1800,1704,1740,1690,1702,1632,1637,1585,1538,1427,1405,1333,1329,1339,1184,1122,1125,1128,1028,1031
Research & Development,984,939,889,881,876,827,773,775,738,701,657,651,612,620,558,566,532,532,500,490
Other Operating Expenses,42,1042,42,42,42,42,42,43,42,42,40,43,44,45,39,41,40,42,42,43
Operating Expenses,2826,3685,2671,2613,2620,2501,2452,2403,2318,2170,2102,2027,1985,2004,1781,1729,1697,1702,1570,1564
Operating Income,1885,907,1743,1697,1624,1586,1505,1484,1529,1580,1501,1441,1406,1454,1215,1069,1016,937,970,854
Interest Expense / Income,41,27,28,27,26,32,28,28,28,28,28,27,28,30,27,28,28,33,36,40
Other Expense / Income,-86,-88,-93,-73,-52,-44,-40,-,9,9,5,-4,-8,-9,-9,-19,-12,-15,-23,-21
Pretax Income,1930,968,1808,1743,1650,1598,1517,1456,1492,1543,1468,1418,1386,1433,1197,1060,1000,919,957,835
Income Tax,357,348,325,340,355,351,341,320,314,277,235,206,270,172,-1053,105,-100,-36,106,42
Net Income,1573,620,1483,1403,1295,1247,1176,1136,1178,1266,1233,1212,1116,1261,2250,955,1100,955,851,793
Net Income Growth,21.47%,-50.28%,26.11%,23.50%,9.93%,-1.50%,-4.62%,-6.27%,5.56%,0.40%,-45.20%,26.91%,1.45%,32.04%,164.39%,20.43%,73.78%,41.69%,25.43%,19.02%
Shares Outstanding (Basic),449,453,454,456,458,459,467,469,472,473,474,477,478,479,481,480,481,482,483,486
Shares Outstanding (Diluted),451,456,459,459,459,460,465,469,473,475,481,481,481,483,482,485,485,488,492,491
Shares Change,-1.74%,-0.87%,-1.29%,-2.13%,-2.96%,-3.16%,-3.33%,-2.49%,-1.66%,-1.66%,-0.21%,-0.82%,-0.82%,-1.02%,-2.03%,-1.22%,-1.42%,-1.21%,-0.85%,-1.18%
EPS (Basic),3.5,1.37,3.25,3.07,2.83,2.72,2.53,2.42,2.5,2.68,2.59,2.54,2.34,2.63,4.69,1.99,2.28,1.98,1.76,1.63
EPS (Diluted),3.49,1.36,3.23,3.05,2.82,2.71,2.53,2.42,2.49,2.66,2.57,2.52,2.32,2.61,4.63,1.97,2.27,1.96,1.74,1.61
EPS Growth,23.76%,-49.82%,27.67%,26.03%,13.25%,1.88%,-1.56%,-3.97%,7.33%,1.92%,-44.49%,27.92%,2.20%,33.16%,166.09%,22.36%,75.97%,44.12%,27.94%,20.15%
Free Cash Flow,1899,1137,1550,1782,2018,1592,2234,1579,1914,1669,1967,1309,1893,1713,1679,1310,1088,1231,1282,833
Free Cash Flow Per Share,4.23,2.51,3.41,3.91,4.41,3.47,4.78,3.37,4.05,3.53,4.15,2.74,3.96,3.58,3.49,2.73,2.26,2.55,2.65,1.71
Gross Margin,88.74%,88.61%,87.44%,88.14%,88.12%,87.80%,87.45%,87.68%,87.71%,87.99%,87.66%,88.13%,88.42%,88.55%,87.50%,86.76%,86.73%,85.38%,84.89%,85.32%
Operating Margin,35.51%,17.50%,34.53%,34.70%,33.72%,34.07%,33.26%,33.48%,34.86%,37.07%,36.52%,36.62%,36.66%,37.23%,35.48%,33.15%,32.48%,30.31%,32.42%,30.13%
Profit Margin,29.63%,11.96%,29.38%,28.69%,26.89%,26.79%,25.99%,25.63%,26.86%,29.70%,30.00%,30.80%,29.10%,32.29%,65.71%,29.61%,35.17%,30.90%,28.44%,27.98%
Free Cash Flow Margin,35.77%,21.94%,30.71%,36.44%,41.90%,34.20%,49.37%,35.62%,43.64%,39.16%,47.86%,33.27%,49.36%,43.87%,49.04%,40.62%,34.78%,39.83%,42.85%,29.39%
Effective Tax Rate,18.50%,35.95%,17.98%,19.51%,21.52%,21.96%,22.48%,21.98%,21.05%,17.95%,16.01%,14.53%,19.48%,12.00%,-87.97%,9.91%,-10.00%,-3.92%,11.08%,5.03%
EBITDA,2204,1225,2076,2006,1911,1863,1780,1721,1752,1806,1721,1658,1622,1678,1436,1302,1237,1161,1184,1068
EBITDA Margin,41.51%,23.64%,41.13%,41.02%,39.68%,40.02%,39.34%,38.82%,39.95%,42.37%,41.87%,42.13%,42.29%,42.97%,41.94%,40.37%,39.55%,37.56%,39.57%,37.69%
Depreciation & Amortization,233,230,240,236,235,233,235,237,232,235,225,213,208,215,212,214,209,209,191,193
EBIT,1971,995,1836,1770,1676,1630,1545,1484,1520,1571,1496,1445,1414,1463,1224,1088,1028,952,993,875
EBIT Margin,37.13%,19.20%,36.37%,36.20%,34.80%,35.02%,34.14%,33.48%,34.66%,36.86%,36.40%,36.72%,36.87%,37.46%,35.75%,33.74%,32.86%,30.80%,33.19%,30.88%
