Quarter Ending,3/31/2024,12/31/2023,9/30/2023,6/30/2023,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
Net Income,10431,10624,9879,6750,3172,278,2872,-2028,-3844,14323,3156,7778,8107,7222,6331,5243,2535,3268,2134,2625
Depreciation & Amortization,11684,13820,12131,11589,11123,12685,10327,9716,9193,9939,8948,8038,7508,7547,6523,5748,5362,6170,5563,5202
Share-Based Compensation,4961,6319,5829,7127,4748,5606,5556,5209,3250,3680,3180,3591,2306,2562,2288,2601,1757,1840,1779,1971
Other Operating Activities,-8087,11702,-6622,-8990,-14255,10604,-7351,-3932,-11389,-5856,-7971,-6692,-13708,13100,-3178,7014,-6590,8381,-1584,-680
Operating Cash Flow,18989,42465,21217,16476,4788,29173,11404,8965,-2790,22086,7313,12715,4213,30431,11964,20606,3064,19659,7892,9118
Operating Cash Flow Growth,296.60%,45.56%,86.05%,83.78%,-,32.09%,55.94%,-29.49%,-,-27.42%,-38.87%,-38.29%,37.50%,54.79%,51.60%,125.99%,65.98%,19.31%,-8.10%,22.41%
Capital Expenditures,-13935,-13353,-11298,-10412,-13070,-15440,-15041,-14098,-13742,-16470,-14751,-12988,-11187,-13194,-9808,-6615,-5428,-3940,-3385,-2643
Acquisitions,-3354,-381,-1629,-316,-3513,-831,-885,-259,-6341,-381,-654,-320,-630,-380,-1735,-118,-91,-777,-398,-117
Change in Investments,-573,1133,1174,1055,777,5450,318,2279,20989,4271,577,-8772,3151,-3463,-4333,-11071,-3375,1181,-1291,-4789
Investing Cash Flow,-17862,-12601,-11753,-9673,-15806,-10821,-15608,-12078,906,-12580,-14828,-22080,-8666,-17037,-15876,-17804,-8894,-3536,-5074,-7549
Share Issuance / Repurchase,0,0,0,0,0,0,0,-3334,-2666,0,0,0,0,0,0,0,0,0,0,0
Debt Issued / Paid,-1256,-6746,-8948,-6539,6354,86,3016,7960,4656,-3100,-2776,15643,-3476,-1816,-4105,7408,-2591,-3571,-1960,-2158
Financing Cash Flow,-1256,-6746,-8948,-6539,6354,86,3016,4626,1990,-3100,-2776,15643,-3476,-1816,-4105,7408,-2591,-3571,-1960,-2158
Exchange Rate Effect,-429,691,-502,69,145,637,-1334,-412,16,-106,-199,234,-293,597,377,127,-484,304,-269,47
Net Cash Flow,-558,23809,14,333,-4519,19075,-2522,1101,122,6300,-10490,6512,-8222,12175,-7640,10337,-8905,12856,589,-542
Free Cash Flow,5054,29112,9919,6064,-8282,13733,-3637,-5133,-16532,5616,-7438,-273,-6974,17237,2156,13991,-2364,15719,4507,6475
Free Cash Flow Growth,-,111.99%,-,-,-,144.53%,-,-,-,-67.42%,-,-,-,9.66%,-52.16%,116.08%,-,17.68%,-25.64%,43.89%
Free Cash Flow Margin,3.53%,17.13%,6.93%,4.51%,-6.50%,9.20%,-2.86%,-4.23%,-14.20%,4.09%,-6.71%,-0.24%,-6.43%,13.73%,2.24%,15.74%,-3.13%,17.98%,6.44%,10.21%
Free Cash Flow Per Share,0.49,2.81,0.96,0.59,-0.81,1.34,-0.36,-0.5,-1.63,0.55,-0.73,-0.03,-0.69,1.72,0.21,1.4,-0.24,1.58,0.46,0.66
