Quarter Ending,4/28/2024,1/28/2024,10/29/2023,7/30/2023,4/30/2023,1/29/2023,10/30/2022,7/31/2022,5/1/2022,1/30/2022,10/31/2021,8/1/2021,5/2/2021,1/31/2021,10/25/2020,7/26/2020,4/26/2020,1/26/2020,10/27/2019,7/28/2019
Revenue,26044,22103,18120,13507,7192,6051,5931,6704,8288,7643,7103,6507,5661,5003,4726,3866,3080,3105,3014,2579
Revenue Growth (YoY),262.12%,265.28%,205.51%,101.48%,-13.22%,-20.83%,-16.50%,3.03%,46.41%,52.77%,50.30%,68.31%,83.80%,61.13%,56.80%,49.90%,38.74%,40.82%,-5.25%,-17.42%
Cost of Revenue,5638,5312,4720,4045,2544,2218,2754,3789,2857,2644,2472,2292,2032,1847,1766,1591,1076,1090,1098,1038
Gross Profit,20406,16791,13400,9462,4648,3833,3177,2915,5431,4999,4631,4215,3629,3156,2960,2275,2004,2015,1916,1541
"Selling, General & Admin",777,712,689,622,633,625,631,592,592,563,557,526,520,503,515,627,293,287,277,266
Research & Development,2720,2465,2294,2040,1875,1952,1945,1824,1618,1466,1403,1245,1153,1146,1047,997,735,738,712,704
Other Operating Expenses,0,0,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,3497,3177,2983,2662,2508,2577,2576,2416,3563,2029,1960,1771,1673,1649,1562,1624,1028,1025,989,970
Operating Income,16909,13614,10417,6800,2140,1256,601,499,1868,2970,2671,2444,1956,1507,1398,651,976,990,927,571
Interest Expense / Income,64,63,63,65,66,64,65,65,68,61,62,60,53,53,53,54,25,13,13,13
Other Expense / Income,-434,-555,-168,-246,-135,-96,-77,-41,-5,44,-29,-10,-141,-16,-3,-12,-30,-39,-45,-48
Pretax Income,17279,14106,10522,6981,2209,1288,613,475,1805,2865,2638,2394,2044,1470,1348,609,981,1016,959,606
Income Tax,2398,1821,1279,793,166,-126,-67,-181,187,-138,174,20,132,13,12,-13,64,65,60,54
Net Income,14881,12285,9243,6188,2043,1414,680,656,1618,3003,2464,2374,1912,1457,1336,622,917,951,899,552
Net Income Growth,628.39%,768.81%,1259.26%,843.29%,26.27%,-52.91%,-72.40%,-72.37%,-15.38%,106.11%,84.43%,281.67%,108.51%,53.21%,48.61%,12.68%,132.74%,68.02%,-26.91%,-49.86%
Shares Outstanding (Basic),24620,24660,24680,24730,24700,24630,24830,24950,25060,25050,24990,24930,24840,24760,24720,24640,24560,24480,24400,24360
Shares Outstanding (Diluted),24890,24940,24940,24990,24900,24770,24990,25160,25370,25440,25380,25320,25280,25280,25200,25040,24880,24840,24720,24640
Shares Change,-0.04%,0.69%,-0.20%,-0.68%,-1.85%,-2.63%,-1.54%,-0.63%,0.36%,0.63%,0.71%,1.12%,1.61%,1.77%,1.94%,1.62%,0.97%,-0.16%,-1.12%,-1.60%
