Quarter Ending,3/31/2024,12/31/2023,9/30/2023,6/30/2023,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
Net Income,1129,7928,1853,2703,2513,3687,3292,2259,3318,2321,1618,1142,438,270,331,104,16,105,143,-408
Depreciation & Amortization,1246,1232,1235,1154,1046,989,956,922,880,848,761,681,621,618,584,567,553,577,530,579
Share-Based Compensation,524,484,465,445,418,419,362,361,418,558,475,474,614,633,543,347,211,281,199,210
Other Operating Activities,-2657,-5274,-245,-1237,-1464,-1817,490,-1191,-621,858,293,-173,-32,1498,942,-54,-1220,462,-116,483
Operating Cash Flow,242,4370,3308,3065,2513,3278,5100,2351,3995,4585,3147,2124,1641,3019,2400,964,-440,1425,756,864
Operating Cash Flow Growth,-90.37%,33.31%,-35.14%,30.37%,-37.10%,-28.51%,62.06%,10.69%,143.45%,51.87%,31.13%,120.33%,-,111.86%,217.46%,11.57%,-,15.38%,-45.65%,-
Capital Expenditures,-2777,-2307,-2459,-2060,-2073,-1858,-1803,-1730,-1772,-1814,-1825,-1515,-1360,-1164,-1021,-566,-481,-449,-410,-268
Acquisitions,0,0,12,-76,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,-76,32
Change in Investments,-2307,-2497,-2315,-1398,-411,-4349,-988,846,-386,-102,-30,0,-1228,0,0,0,0,0,0,0
Other Investing Activities,-,-,-,-,-,76,-,-,-9,-,-,-,6,117,-5,-,1,46,-,-5
Investing Cash Flow,-5084,-4804,-4762,-3534,-2484,-6131,-2791,-884,-2167,-1916,-1855,-1515,-2582,-1047,-1039,-566,-480,-403,-486,-241
Share Issuance / Repurchase,251,152,254,63,231,67,229,43,202,262,192,70,183,5043,5117,57,2469,96,71,1040
Debt Issued / Paid,76,811,2054,-357,-421,-497,-899,-402,-2068,-1456,-1530,-1588,-1167,-2305,-587,111,287,-200,45,1601
Other Financing Activities,-131,-76,-45,-34,-43,-65,-42,-47,-48,-63,-43,-31,-32,-46,-80,-45,-48,25,2,-498
Financing Cash Flow,196,887,2263,-328,-233,-495,-712,-406,-1914,-1257,-1381,-1549,-1016,2692,4450,123,2708,-79,118,2143
Exchange Rate Effect,-79,146,-98,-94,50,123,-335,-214,-18,38,-42,42,-221,234,86,38,-24,14,-11,0
Net Cash Flow,-4725,599,711,-891,-154,-3225,1262,847,-104,1450,-131,-898,-2178,4898,5897,559,1764,957,377,2766
Free Cash Flow,-2535,2063,849,1005,440,1420,3297,621,2223,2771,1322,609,281,1855,1379,398,-921,976,346,596
Free Cash Flow Growth,-,45.28%,-74.25%,61.84%,-80.21%,-48.75%,149.39%,1.97%,691.10%,49.38%,-4.13%,53.02%,-,90.06%,298.55%,-33.22%,-,10.78%,-58.41%,-
Free Cash Flow Margin,-11.90%,8.20%,3.64%,4.03%,1.89%,5.84%,15.37%,3.67%,11.85%,15.64%,9.61%,5.09%,2.70%,17.27%,15.72%,6.59%,-15.39%,13.22%,5.49%,9.39%
Free Cash Flow Per Share,-0.8,0.65,0.27,0.32,0.14,0.45,1.05,0.2,0.72,0.91,0.44,0.21,0.1,0.65,0.49,0.14,-0.34,0.36,0.13,0.22
