Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
1/4/2016,48.52,48.05,47.4,43.75,45.16,47.72,-0.012,53778000,2.24,2.24
1/5/2016,48.74,48.18,47.45,43.83,45.23,49.02,0.005,34079700,2.22,2.236
1/6/2016,47.86,48.21,47.47,43.9,45.29,36.53,-0.018,39518900,2.18,2.2248
1/7/2016,46.19,48.18,47.42,43.95,45.3,30.75,-0.035,56564900,2.12,2.20384
1/8/2016,46.33,48.16,47.38,44,45.32,38.4,0.003,48754000,2.06,2.175072
1/11/2016,46.31,48.14,47.33,44.05,45.34,32.16,-0.001,36943800,1.99,2.1380576
1/12/2016,46.73,48.14,47.31,44.11,45.37,31.77,0.009,36095500,1.94,2.09844608
1/13/2016,45.72,48.12,47.25,44.16,45.38,22.93,-0.022,66883600,1.87,2.052756864
1/14/2016,47.03,48.13,47.24,44.25,45.41,35.84,0.028,52381900,1.83,2.008205491
1/15/2016,45.15,48.08,47.16,44.34,45.41,27.21,-0.04,71820700,1.75,1.956564393
1/19/2016,44.77,48.02,47.06,44.43,45.39,22.04,-0.008,43564500,1.67,1.899251514
1/20/2016,44.97,47.96,46.98,44.51,45.38,24.21,0.005,63273000,1.6,1.839401211
1/21/2016,44.7,47.89,46.89,44.57,45.37,25.44,-0.006,40191200,1.52,1.775520969
1/22/2016,46.3,47.86,46.87,44.64,45.39,38.9,0.036,37555800,1.48,1.716416775
1/25/2016,45.86,47.84,46.83,44.72,45.4,35.9,-0.01,34707700,1.43,1.65913342
1/26/2016,46.19,47.82,46.8,44.81,45.41,41.41,0.007,28900800,1.39,1.605306736
1/27/2016,45.35,47.79,46.75,44.88,45.41,45.25,-0.018,36775200,1.34,1.552245389
1/28/2016,46.1,47.78,46.72,44.96,45.43,48.74,0.016,62513800,1.29,1.499796311
1/29/2016,48.78,47.81,46.8,45.08,45.49,60.19,0.058,83611700,1.31,1.461837049
2/1/2016,48.44,47.84,46.87,45.17,45.55,57.1,-0.007,44208500,1.32,1.433469639
2/2/2016,46.93,47.82,46.87,45.27,45.58,54.8,-0.031,56313800,1.29,1.404775711
2/3/2016,46.18,47.79,46.84,45.35,45.59,46.49,-0.016,57559800,1.25,1.373820569
2/4/2016,46.04,47.75,46.81,45.42,45.6,54.36,-0.003,46987100,1.21,1.341056455
2/5/2016,44.41,47.68,46.72,45.49,45.58,48.46,-0.035,62009000,1.14,1.300845164
2/8/2016,43.75,47.6,46.6,45.54,45.54,44.89,-0.015,59290500,1.06,1.252676131
2/9/2016,43.63,47.52,46.48,45.59,45.5,45.5,-0.003,46740500,0.98,1.198140905
2/10/2016,44.01,47.44,46.39,45.64,45.47,39.2,0.009,38237000,0.92,1.142512724
2/11/2016,44,47.36,46.29,45.7,45.44,40.84,0,48878600,0.85,1.084010179
2/12/2016,44.71,47.28,46.23,45.75,45.43,42.98,0.016,34243300,0.8,1.027208143
2/16/2016,45.56,47.21,46.2,45.82,45.43,51,0.012,37291200,0.77,0.975766515
2/17/2016,46.75,47.19,46.23,45.91,45.46,52.97,0.026,40789000,0.77,0.934613212
2/18/2016,46.54,47.13,46.24,45.99,45.48,36.84,-0.004,27176000,0.76,0.899690569
2/19/2016,46.21,47.06,46.24,46.06,45.49,36.87,-0.007,33559100,0.75,0.869752456
2/22/2016,46.95,47.01,46.27,46.15,45.52,50.16,0.016,25008300,0.75,0.845801964
2/23/2016,45.64,46.95,46.24,46.22,45.52,46.73,-0.028,28895300,0.72,0.820641572
2/24/2016,45.8,46.89,46.22,46.29,45.53,48.55,0.004,33014500,0.69,0.794513257
2/25/2016,46.46,46.86,46.23,46.37,45.55,63.97,0.014,26939500,0.68,0.771610606
2/26/2016,45.75,46.8,46.21,46.42,45.55,63.54,-0.015,35975900,0.66,0.749288485
2/29/2016,45.37,46.73,46.18,46.47,45.55,61.38,-0.008,31654000,0.63,0.725430788
3/1/2016,46.89,46.68,46.21,46.52,45.58,66.38,0.033,33024500,0.63,0.70634463
3/2/2016,47.22,46.63,46.25,46.58,45.61,67.73,0.007,29289900,0.64,0.693075704
3/3/2016,46.68,46.61,46.27,46.63,45.63,61.06,-0.011,24427800,0.64,0.682460563
3/4/2016,46.4,46.57,46.27,46.68,45.65,55.02,-0.006,33034200,0.62,0.669968451
3/7/2016,45.51,46.5,46.24,46.72,45.64,42.3,-0.019,38407800,0.6,0.655974761
3/8/2016,46.06,46.43,46.23,46.77,45.65,47.13,0.012,33835100,0.58,0.640779808
3/9/2016,47.12,46.38,46.27,46.83,45.68,54.98,0.023,28251600,0.59,0.630623847
3/10/2016,46.42,46.32,46.27,46.88,45.69,47.06,-0.015,38387800,0.58,0.620499077
3/11/2016,47.33,46.27,46.32,46.94,45.73,59.69,0.02,32275700,0.59,0.614399262
3/14/2016,47.42,46.22,46.36,47,45.76,59.36,0.002,24083600,0.6,0.61151941
3/15/2016,47.79,46.19,46.42,47.05,45.8,57.97,0.008,21104800,0.62,0.613215528
3/16/2016,48.47,46.19,46.5,47.12,45.85,66.38,0.014,31691700,0.65,0.620572422
3/17/2016,48.75,46.19,46.58,47.19,45.91,70.54,0.006,28223900,0.67,0.630457938
3/18/2016,47.7,46.19,46.63,47.2,45.95,55.25,-0.021,67625500,0.68,0.64036635
3/21/2016,48.03,46.22,46.68,47.2,45.99,55.25,0.007,23925700,0.69,0.65029308
3/22/2016,48.22,46.26,46.74,47.21,46.03,60.39,0.004,23124100,0.71,0.662234464
3/23/2016,48.13,46.3,46.8,47.22,46.07,62.03,-0.002,20129000,0.73,0.675787571
3/24/2016,48.34,46.33,46.86,47.23,46.12,71.78,0.004,19950000,0.74,0.688630057
3/28/2016,47.75,46.37,46.89,47.25,46.15,62.86,-0.012,17025100,0.74,0.698904046
3/29/2016,48.79,46.41,46.97,47.27,46.2,62.76,0.022,23924300,0.77,0.713123236
3/30/2016,49.09,46.49,47.05,47.28,46.26,71.8,0.006,23008300,0.79,0.728498589
3/31/2016,49.25,46.58,47.14,47.3,46.32,67.88,0.003,26360500,0.82,0.746798871
4/1/2016,49.56,46.67,47.23,47.31,46.38,69.11,0.006,24399200,0.85,0.767439097
4/4/2016,49.43,46.76,47.32,47.32,46.44,65.33,-0.003,18928800,0.88,0.789951278
4/5/2016,48.66,46.81,47.37,47.33,46.49,51.72,-0.016,19272300,0.88,0.807961022
4/6/2016,49.16,46.87,47.44,47.36,46.54,53.62,0.01,21188700,0.9,0.826368818
4/7/2016,48.57,46.92,47.48,47.37,46.58,58.29,-0.012,19225100,0.9,0.841095054
4/8/2016,48.53,46.99,47.53,47.39,46.62,55.07,-0.001,22167200,0.91,0.854876043
4/11/2016,48.43,47.03,47.56,47.41,46.65,52.21,-0.002,21414200,0.91,0.865900835
4/12/2016,48.74,47.03,47.61,47.42,46.7,56.01,0.006,24944300,0.91,0.874720668
4/13/2016,49.36,47.05,47.68,47.44,46.75,59.31,0.013,20818000,0.93,0.885776534
4/14/2016,49.37,47.1,47.74,47.46,46.8,66.67,0,20877100,0.94,0.896621227
4/15/2016,49.63,47.17,47.82,47.48,46.86,60.26,0.005,28793800,0.96,0.909296982
4/18/2016,50.35,47.25,47.92,47.5,46.93,63.96,0.015,23786000,0.99,0.925437586
4/19/2016,50.29,47.37,48.01,47.53,46.99,61.74,-0.001,29596800,1.02,0.944350068
4/20/2016,49.57,47.49,48.07,47.54,47.04,50.19,-0.014,36195700,1.03,0.961480055
4/21/2016,49.74,47.61,48.14,47.56,47.1,53.21,0.003,38909100,1.04,0.977184044
4/22/2016,46.18,47.65,48.06,47.55,47.08,33.8,-0.072,126834100,0.98,0.977747235
4/25/2016,46.47,47.7,48,47.53,47.07,31.98,0.006,33226900,0.93,0.968197788
4/26/2016,45.87,47.73,47.91,47.5,47.04,31.94,-0.013,33532600,0.87,0.94855823
4/27/2016,45.43,47.72,47.82,47.47,47.01,30.27,-0.01,43369300,0.81,0.920846584
4/28/2016,44.5,47.68,47.69,47.43,46.96,27.38,-0.02,43134800,0.73,0.882677267
4/29/2016,44.47,47.64,47.56,47.38,46.91,24.68,-0.001,48411700,0.65,0.836141814
5/2/2016,45.13,47.62,47.46,47.34,46.88,25,0.015,33114500,0.58,0.784913451
