Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
1/3/2022,327.53,324.95,321.09,307.76,308.2,56.08,-0.005,28865100
1/4/2022,321.91,325.35,321.12,308.15,308.47,44.59,-0.017,32674300
1/5/2022,309.56,325.52,320.67,308.39,308.49,42.25,-0.038,40054300
1/6/2022,307.11,325.6,320.14,308.59,308.47,41.21,-0.008,39646100
1/7/2022,307.27,325.44,319.63,308.81,308.44,44.43,0.001,32720000
1/10/2022,307.49,325.25,319.16,309.04,308.42,35.7,0.001,44289500
1/11/2022,308.19,324.94,318.73,309.23,308.42,27.41,0.002,29386800
1/12/2022,311.41,324.73,318.44,309.37,308.48,30.51,0.01,34372200
1/13/2022,298.23,324.19,317.65,309.37,308.28,10.64,-0.042,45366000
1/14/2022,303.51,323.74,317.09,309.45,308.18,20.16,0.018,39846400
1/18/2022,296.12,323.09,316.27,309.47,307.94,16.63,-0.024,42333200
1/19/2022,296.79,322.46,315.51,309.51,307.72,18.39,0.002,45933900
1/20/2022,295.1,321.78,314.71,309.54,307.47,18.81,-0.006,35380700
1/21/2022,289.65,321.01,313.72,309.47,307.12,17.55,-0.018,57984400
1/24/2022,289.98,320.35,312.79,309.42,306.78,19.92,0.001,85731500
1/25/2022,282.27,319.5,311.6,309.29,306.29,21.83,-0.027,72848600
1/26/2022,290.31,318.73,310.76,309.26,305.98,34.46,0.028,90428900
1/27/2022,293.37,318.03,310.08,309.25,305.73,37.8,0.011,53481300
1/28/2022,301.61,317.43,309.75,309.33,305.65,45.47,0.028,49743700
1/31/2022,304.27,316.88,309.53,309.44,305.62,47.08,0.009,46444500
2/1/2022,302.1,316.24,309.24,309.56,305.55,42.94,-0.007,40950400
2/2/2022,306.7,315.66,309.14,309.74,305.57,57.39,0.015,36636000
2/3/2022,294.75,314.91,308.58,309.79,305.36,43.15,-0.039,43730000
2/4/2022,299.34,314.29,308.21,309.85,305.24,52.63,0.016,35096500
2/7/2022,294.46,313.57,307.68,309.82,305.03,48.22,-0.016,28533300
2/8/2022,297.99,313.07,307.3,309.82,304.89,52.15,0.012,32421200
2/9/2022,304.5,312.58,307.19,309.94,304.88,60.88,0.022,31284700
2/10/2022,295.86,312.02,306.74,310.02,304.7,53.84,-0.028,45386200
