Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
1/4/2016,0.809,0.78,0.78,0.69,0.71,47.8,-0.018,358076000,0.07,0.07
1/5/2016,0.822,0.78,0.78,0.69,0.72,49.14,0.016,490272000,0.06,0.068
1/6/2016,0.788,0.79,0.78,0.69,0.72,35.91,-0.041,449344000,0.06,0.0664
1/7/2016,0.757,0.79,0.78,0.7,0.72,31.81,-0.04,645304000,0.06,0.06512
1/8/2016,0.741,0.79,0.78,0.7,0.72,31.24,-0.021,398472000,0.06,0.064096
1/11/2016,0.742,0.79,0.78,0.7,0.72,23.08,0.002,409372000,0.06,0.0632768
1/12/2016,0.754,0.79,0.77,0.7,0.72,28.68,0.017,469356000,0.05,0.06062144
1/13/2016,0.732,0.79,0.77,0.7,0.72,23.76,-0.03,481672000,0.05,0.058497152
1/14/2016,0.717,0.79,0.77,0.7,0.72,20.85,-0.02,600236000,0.05,0.056797722
1/15/2016,0.678,0.79,0.77,0.71,0.72,17.41,-0.054,841452000,0.05,0.055438177
1/19/2016,0.683,0.79,0.76,0.71,0.72,14.45,0.008,457140000,0.04,0.052350542
1/20/2016,0.687,0.79,0.76,0.71,0.72,16.38,0.005,481180000,0.04,0.049880433
1/21/2016,0.695,0.79,0.76,0.71,0.72,20.28,0.012,481456000,0.04,0.047904347
1/22/2016,0.711,0.78,0.76,0.71,0.72,27.57,0.023,257996000,0.04,0.046323477
1/25/2016,0.711,0.78,0.75,0.71,0.72,22.91,-0.001,270728000,0.03,0.043058782
1/26/2016,0.717,0.78,0.75,0.71,0.72,30.26,0.01,227944000,0.03,0.040447026
1/27/2016,0.709,0.78,0.75,0.72,0.72,34.66,-0.012,231700000,0.03,0.03835762
1/28/2016,0.701,0.78,0.75,0.72,0.72,36.66,-0.011,276776000,0.03,0.036686096
1/29/2016,0.732,0.78,0.75,0.72,0.72,47.26,0.044,310504000,0.03,0.035348877
2/1/2016,0.733,0.78,0.75,0.72,0.72,43.35,0,289884000,0.03,0.034279102
2/2/2016,0.701,0.78,0.75,0.72,0.72,41.35,-0.042,341908000,0.03,0.033423281
2/3/2016,0.705,0.78,0.74,0.72,0.72,46.38,0.005,326772000,0.02,0.030738625
2/4/2016,0.705,0.78,0.74,0.73,0.72,61.13,0,348140000,0.02,0.0285909
2/5/2016,0.661,0.77,0.74,0.73,0.72,43.08,-0.063,600428000,0.02,0.02687272
2/8/2016,0.631,0.77,0.74,0.73,0.71,35.05,-0.046,608852000,0.03,0.027498176
2/9/2016,0.637,0.77,0.73,0.73,0.71,34.62,0.011,425372000,0.02,0.025998541
2/10/2016,0.636,0.76,0.73,0.73,0.71,28.18,-0.002,335800000,0.02,0.024798833
2/11/2016,0.632,0.76,0.72,0.73,0.71,27.78,-0.005,340144000,0.01,0.021839066
2/12/2016,0.643,0.76,0.72,0.73,0.71,29.29,0.017,340816000,0.01,0.019471253
2/16/2016,0.675,0.75,0.72,0.73,0.71,41.53,0.049,485352000,0.01,0.017577002
2/17/2016,0.692,0.75,0.72,0.73,0.71,47.69,0.025,771468000,0.01,0.016061602
2/18/2016,0.751,0.75,0.72,0.73,0.71,53.91,0.086,1068660000,0.01,0.014849281
2/19/2016,0.761,0.75,0.72,0.73,0.71,55.71,0.013,525628000,0.01,0.013879425
2/22/2016,0.788,0.75,0.72,0.74,0.71,67.62,0.035,449668000,0.01,0.01310354
2/23/2016,0.79,0.75,0.73,0.74,0.71,67.42,0.003,369380000,0.02,0.014482832
2/24/2016,0.795,0.75,0.73,0.74,0.71,68.1,0.007,336852000,0.02,0.015586266
2/25/2016,0.797,0.75,0.73,0.74,0.72,83.05,0.002,349616000,0.01,0.014469013
2/26/2016,0.792,0.75,0.73,0.74,0.72,94.49,-0.007,361964000,0.01,0.01357521
2/29/2016,0.784,0.75,0.74,0.75,0.72,90.15,-0.01,323344000,0.02,0.014860168
3/1/2016,0.819,0.75,0.74,0.75,0.72,92.36,0.044,348700000,0.02,0.015888134
3/2/2016,0.823,0.75,0.74,0.75,0.72,93.91,0.006,233812000,0.02,0.016710508
3/3/2016,0.816,0.75,0.75,0.75,0.72,90.42,-0.009,302004000,0.03,0.019368406
3/4/2016,0.814,0.75,0.75,0.75,0.73,87.57,-0.003,175304000,0.02,0.019494725
3/7/2016,0.808,0.75,0.75,0.75,0.73,83.72,-0.006,239968000,0.02,0.01959578
3/8/2016,0.794,0.74,0.75,0.76,0.73,66.6,-0.018,274940000,0.02,0.019676624
3/9/2016,0.793,0.74,0.75,0.76,0.73,63.52,-0.001,222788000,0.02,0.019741299
3/10/2016,0.792,0.74,0.76,0.76,0.73,52.14,-0.002,286084000,0.03,0.021793039
3/11/2016,0.805,0.74,0.76,0.76,0.73,57.38,0.017,277400000,0.03,0.023434431
3/14/2016,0.808,0.74,0.76,0.76,0.73,55.91,0.002,190312000,0.03,0.024747545
3/15/2016,0.803,0.74,0.76,0.76,0.74,53.01,-0.005,226216000,0.02,0.023798036
3/16/2016,0.827,0.74,0.76,0.76,0.74,64.49,0.03,363644000,0.02,0.023038429
3/17/2016,0.821,0.74,0.77,0.76,0.74,65.02,-0.008,353680000,0.03,0.024430743
3/18/2016,0.845,0.74,0.77,0.76,0.74,61.88,0.03,545512000,0.03,0.025544594
3/21/2016,0.848,0.74,0.77,0.77,0.74,61.1,0.003,337780000,0.03,0.026435676
3/22/2016,0.846,0.75,0.77,0.77,0.75,64.49,-0.002,242012000,0.02,0.02514854
3/23/2016,0.861,0.75,0.78,0.77,0.75,70.35,0.017,429008000,0.03,0.026118832
3/24/2016,0.862,0.75,0.78,0.77,0.75,73.99,0.001,244956000,0.03,0.026895066
3/28/2016,0.871,0.75,0.79,0.77,0.75,86.49,0.01,265388000,0.04,0.029516053
3/29/2016,0.885,0.76,0.79,0.77,0.75,88.45,0.016,261812000,0.04,0.031612842
3/30/2016,0.894,0.76,0.79,0.78,0.76,90.16,0.01,376700000,0.03,0.031290274
3/31/2016,0.891,0.77,0.8,0.78,0.76,86.51,-0.004,379884000,0.04,0.033032219
4/1/2016,0.904,0.77,0.8,0.78,0.76,87.67,0.015,348292000,0.04,0.034425775
4/4/2016,0.895,0.77,0.8,0.78,0.77,84.53,-0.01,393940000,0.03,0.03354062
4/5/2016,0.894,0.78,0.81,0.78,0.77,80.18,-0.001,339568000,0.04,0.034832496
4/6/2016,0.895,0.78,0.81,0.78,0.77,85.82,0.001,453376000,0.04,0.035865997
4/7/2016,0.886,0.79,0.81,0.78,0.77,72.88,-0.01,378104000,0.04,0.036692798
4/8/2016,0.891,0.79,0.82,0.79,0.78,73.84,0.006,255936000,0.04,0.037354238
4/11/2016,0.897,0.79,0.82,0.79,0.78,76.5,0.006,387524000,0.04,0.03788339
4/12/2016,0.896,0.8,0.82,0.79,0.78,71.43,-0.001,292764000,0.04,0.038306712
4/13/2016,0.919,0.8,0.83,0.79,0.78,77.29,0.025,350716000,0.05,0.04064537
4/14/2016,0.921,0.8,0.83,0.79,0.79,75.84,0.003,416564000,0.04,0.040516296
4/15/2016,0.928,0.81,0.83,0.79,0.79,74.03,0.008,436972000,0.04,0.040413037
4/18/2016,0.924,0.81,0.84,0.79,0.79,67.74,-0.004,307320000,0.05,0.042330429
4/19/2016,0.908,0.82,0.84,0.8,0.79,58.63,-0.018,309152000,0.05,0.043864343
4/20/2016,0.911,0.82,0.84,0.8,0.8,54.21,0.004,200172000,0.04,0.043091475
4/21/2016,0.91,0.83,0.85,0.8,0.8,59.38,-0.001,178280000,0.05,0.04447318
4/22/2016,0.907,0.83,0.85,0.8,0.8,57.78,-0.004,223540000,0.05,0.045578544
4/25/2016,0.911,0.84,0.85,0.8,0.8,59.37,0.005,191972000,0.05,0.046462835
4/26/2016,0.912,0.85,0.85,0.8,0.8,66.77,0.001,214536000,0.05,0.047170268
4/27/2016,0.933,0.85,0.86,0.8,0.81,72.12,0.023,352396000,0.05,0.047736214
4/28/2016,0.905,0.85,0.86,0.8,0.81,53.46,-0.03,381224000,0.05,0.048188972
4/29/2016,0.888,0.86,0.86,0.8,0.81,47.05,-0.019,321904000,0.05,0.048551177
5/2/2016,0.9,0.86,0.86,0.8,0.81,42.32,0.013,256076000,0.05,0.048840942
5/3/2016,0.889,0.86,0.86,0.81,0.81,37.67,-0.012,224024000,0.05,0.049072753
5/4/2016,0.869,0.86,0.86,0.81,0.81,29.1,-0.023,525764000,0.05,0.049258203
5/5/2016,0.874,0.87,0.86,0.81,0.82,32.52,0.006,246884000,0.04,0.047406562
5/6/2016,0.883,0.87,0.86,0.81,0.82,40.96,0.01,183240000,0.04,0.04592525
5/9/2016,0.882,0.87,0.86,0.81,0.82,39.02,-0.001,333336000,0.04,0.0447402
5/10/2016,0.899,0.87,0.87,0.81,0.82,46.23,0.019,269676000,0.05,0.04579216
5/11/2016,0.901,0.87,0.87,0.81,0.82,48.23,0.003,328176000,0.05,0.046633728
5/12/2016,0.889,0.87,0.87,0.81,0.82,42.95,-0.014,670540000,0.05,0.047306982
5/13/2016,1.025,0.88,0.87,0.81,0.83,69.36,0.152,2110256000,0.04,0.045845586
5/16/2016,1.055,0.88,0.88,0.81,0.83,70.33,0.03,973032000,0.05,0.046676469
5/17/2016,1.057,0.89,0.89,0.82,0.84,77.69,0.002,628392000,0.05,0.047341175
5/18/2016,1.084,0.89,0.9,0.82,0.84,84.37,0.026,541072000,0.06,0.04987294
5/19/2016,1.089,0.9,0.9,0.82,0.85,83.98,0.004,398880000,0.05,0.049898352
5/20/2016,1.108,0.91,0.91,0.82,0.85,88.22,0.018,391084000,0.06,0.051918682
5/23/2016,1.11,0.91,0.92,0.83,0.86,94.96,0.002,413636000,0.06,0.053534945
5/24/2016,1.134,0.92,0.93,0.83,0.86,95.29,0.022,415788000,0.07,0.056827956
5/25/2016,1.129,0.93,0.94,0.83,0.87,93.54,-0.004,458076000,0.07,0.059462365
5/26/2016,1.141,0.93,0.94,0.84,0.87,94.2,0.011,309964000,0.07,0.061569892
5/27/2016,1.148,0.94,0.95,0.84,0.88,93.98,0.005,277416000,0.07,0.063255914
