Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
1/3/2022,30.121,29.45,28.67,25.47,26.14,58.63,0.024,391547000
1/4/2022,29.29,29.58,28.69,25.56,26.2,43.54,-0.028,527154000
1/5/2022,27.604,29.67,28.65,25.63,26.23,45.48,-0.058,498064000
1/6/2022,28.178,29.74,28.63,25.72,26.27,52.18,0.021,454186000
1/7/2022,27.247,29.79,28.58,25.79,26.29,47.51,-0.033,409939000
1/10/2022,27.4,29.84,28.53,25.88,26.31,39.9,0.006,594681000
1/11/2022,27.817,29.89,28.5,25.96,26.34,40.56,0.015,404089000
1/12/2022,27.999,29.93,28.48,26.03,26.37,40.14,0.007,383413000
1/13/2022,26.575,29.93,28.41,26.08,26.38,24.12,-0.051,540171000
1/14/2022,26.942,29.94,28.35,26.13,26.39,29.35,0.014,395832000
1/18/2022,25.903,29.86,28.26,26.16,26.38,26.99,-0.039,424270000
1/19/2022,25.067,29.77,28.13,26.19,26.35,25.77,-0.032,488315000
1/20/2022,24.15,29.63,27.97,26.21,26.31,23.87,-0.037,435181000
1/21/2022,23.374,29.49,27.79,26.22,26.25,16.71,-0.032,718958000
1/24/2022,23.372,29.37,27.62,26.23,26.19,18.2,0,913982000
1/25/2022,22.324,29.21,27.41,26.23,26.12,19.54,-0.045,664616000
1/26/2022,22.772,29.05,27.23,26.23,26.05,18.35,0.02,755959000
1/27/2022,21.944,28.89,27.02,26.22,25.97,18.57,-0.036,573353000
1/28/2022,22.84,28.74,26.86,26.22,25.91,25.16,0.041,543774000
1/31/2022,24.486,28.65,26.77,26.24,25.88,34,0.072,564680000
2/1/2022,24.638,28.51,26.68,26.27,25.86,33.81,0.006,518925000
2/2/2022,25.242,28.35,26.63,26.3,25.84,43.03,0.025,543419000
2/3/2022,23.948,28.19,26.52,26.31,25.81,35.72,-0.051,410178000
2/4/2022,24.319,28.05,26.43,26.33,25.78,41.93,0.015,354829000
2/7/2022,24.728,27.89,26.37,26.36,25.76,48.2,0.017,376868000
2/8/2022,25.108,27.76,26.32,26.39,25.74,55.41,0.015,410359000
2/9/2022,26.705,27.62,26.33,26.44,25.76,67.21,0.064,524282000
2/10/2022,25.824,27.49,26.31,26.48,25.76,61.62,-0.033,513200000
2/11/2022,23.949,27.34,26.22,26.51,25.73,57.14,-0.073,605472000
2/14/2022,24.267,27.18,26.14,26.53,25.7,56.64,0.013,440424000
2/15/2022,26.495,27.1,26.16,26.57,25.71,67.99,0.092,699869000
2/16/2022,26.511,27.03,26.17,26.62,25.73,65.59,0.001,732676000
2/17/2022,24.507,26.87,26.11,26.65,25.71,50.09,-0.076,810595000
2/18/2022,23.642,26.7,26.01,26.67,25.67,46.12,-0.035,761255000
2/22/2022,23.39,26.56,25.91,26.7,25.62,42.59,-0.011,633422000
2/23/2022,22.387,26.41,25.77,26.72,25.56,43.6,-0.043,566511000
2/24/2022,23.748,26.32,25.69,26.75,25.52,47.84,0.061,735801000
2/25/2022,24.157,26.23,25.63,26.79,25.49,47.84,0.017,528866000
2/28/2022,24.385,26.11,25.58,26.83,25.47,47.23,0.009,477319000
3/1/2022,23.477,26.01,25.5,26.86,25.43,36.93,-0.037,412056000
3/2/2022,24.22,25.94,25.45,26.89,25.41,43.43,0.032,389642000
3/3/2022,23.714,25.86,25.38,26.92,25.37,48.92,-0.021,365095000
3/4/2022,22.936,25.74,25.28,26.94,25.33,44.11,-0.033,431415000
3/7/2022,21.352,25.58,25.13,26.95,25.25,25.87,-0.069,450821000
3/8/2022,21.514,25.42,24.99,26.96,25.17,26.87,0.008,557467000
3/9/2022,23.014,25.26,24.91,26.97,25.13,42.75,0.07,492742000
3/10/2022,22.658,25.1,24.82,26.98,25.08,44.97,-0.015,428066000
3/11/2022,22.1,24.95,24.72,26.98,25.02,43.61,-0.025,367209000
3/14/2022,21.33,24.78,24.58,26.97,24.95,44.64,-0.035,385354000
3/15/2022,22.973,24.65,24.52,26.98,24.91,46.18,0.077,491996000
3/16/2022,24.496,24.54,24.52,26.99,24.9,51.51,0.066,671422000
3/17/2022,24.766,24.45,24.53,27.01,24.9,51.69,0.011,471941000
3/18/2022,26.453,24.43,24.6,27.05,24.93,62.32,0.068,730719000
3/21/2022,26.734,24.4,24.69,27.07,24.97,60.82,0.011,591727000
3/22/2022,26.524,24.38,24.76,27.09,25,62.41,-0.008,547007000
3/23/2022,25.634,24.35,24.79,27.09,25.01,61.8,-0.034,502120000
3/24/2022,28.15,24.35,24.93,27.12,25.07,77.49,0.098,877379000
3/25/2022,27.692,24.35,25.03,27.14,25.12,74.4,-0.016,579016000
3/28/2022,28.219,24.38,25.16,27.16,25.18,72.26,0.019,425494000
3/29/2022,28.656,24.42,25.3,27.18,25.25,75.48,0.015,488984000
3/30/2022,27.69,24.45,25.39,27.16,25.3,72.95,-0.034,463487000
3/31/2022,27.286,24.5,25.46,27.13,25.34,75.21,-0.015,523440000
4/1/2022,26.712,24.55,25.51,27.09,25.37,67.4,-0.021,517235000
4/4/2022,27.36,24.63,25.59,27.06,25.41,64.51,0.024,397120000
4/5/2022,25.931,24.68,25.6,27.02,25.42,55.28,-0.052,436615000
4/6/2022,24.407,24.72,25.55,26.96,25.4,40.58,-0.059,703833000
4/7/2022,24.208,24.75,25.5,26.9,25.37,38.29,-0.008,557992000
4/8/2022,23.119,24.77,25.41,26.83,25.33,35.4,-0.045,524781000
4/11/2022,21.917,24.75,25.27,26.75,25.26,34.48,-0.052,575207000
4/12/2022,21.504,24.69,25.12,26.67,25.19,16.33,-0.019,662258000
4/13/2022,22.203,24.65,25.01,26.58,25.13,22.86,0.033,516943000
4/14/2022,21.258,24.57,24.86,26.46,25.05,16.94,-0.043,569097000
4/18/2022,21.783,24.52,24.74,26.36,24.99,17.63,0.025,525701000
4/19/2022,22.198,24.48,24.64,26.26,24.93,22.72,0.019,512781000
4/20/2022,21.482,24.41,24.52,26.15,24.86,22.04,-0.032,468974000
4/21/2022,20.183,24.32,24.35,26.04,24.77,20.6,-0.06,656209000
4/22/2022,19.515,24.17,24.16,25.9,24.67,14.74,-0.033,624713000
4/25/2022,19.902,24.05,23.99,25.77,24.57,20.1,0.02,641566000
4/26/2022,18.788,23.95,23.79,25.64,24.46,20.95,-0.056,653143000
4/27/2022,18.415,23.83,23.58,25.51,24.34,20.58,-0.02,499460000
4/28/2022,19.782,23.7,23.43,25.4,24.25,33.52,0.074,570327000
4/29/2022,18.547,23.54,23.24,25.28,24.14,33.41,-0.062,500435000
5/2/2022,19.533,23.44,23.09,25.15,24.04,40.81,0.053,572049000
5/3/2022,19.602,23.36,22.95,25.03,23.96,37.12,0.004,475751000
5/4/2022,20.334,23.3,22.85,24.93,23.88,45.33,0.037,648855000
