Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
1/4/2016,14.89,14.91,15.25,15.51,15.44,54.38,-0.069,102406500,-0.19,-0.19
1/5/2016,14.9,14.93,15.24,15.5,15.43,52.22,0,47802000,-0.19,-0.19
1/6/2016,14.6,14.94,15.21,15.49,15.42,32.25,-0.02,56686500,-0.21,-0.194
1/7/2016,14.38,14.94,15.18,15.47,15.4,30.65,-0.015,53314500,-0.22,-0.1992
1/8/2016,14.07,14.94,15.13,15.44,15.37,29.54,-0.022,54421500,-0.24,-0.20736
1/11/2016,13.86,14.93,15.08,15.41,15.34,24.58,-0.015,61371000,-0.26,-0.217888
1/12/2016,14,14.93,15.04,15.38,15.31,29.24,0.01,46378500,-0.27,-0.2283104
1/13/2016,13.35,14.92,14.98,15.35,15.27,24.46,-0.046,61896000,-0.29,-0.24064832
1/14/2016,13.75,14.91,14.93,15.33,15.24,30.5,0.029,97360500,-0.31,-0.254518656
1/15/2016,13.67,14.91,14.88,15.32,15.21,30.71,-0.006,83679000,-0.33,-0.269614925
1/19/2016,13.65,14.87,14.83,15.31,15.18,20.01,-0.001,60580500,-0.35,-0.28569194
1/20/2016,13.25,14.83,14.77,15.29,15.14,16.76,-0.029,87579000,-0.37,-0.302553552
1/21/2016,13.33,14.78,14.71,15.27,15.11,15.84,0.006,47493000,-0.4,-0.322042841
1/22/2016,13.5,14.75,14.66,15.24,15.08,26.6,0.013,46861500,-0.42,-0.341634273
1/25/2016,13.09,14.73,14.6,15.2,15.04,23.34,-0.03,40480500,-0.44,-0.361307419
1/26/2016,12.9,14.69,14.54,15.17,14.99,24.08,-0.014,74463000,-0.45,-0.379045935
1/27/2016,12.54,14.66,14.46,15.13,14.95,23.1,-0.028,54258000,-0.49,-0.401236748
1/28/2016,12.65,14.64,14.39,15.09,14.9,27.92,0.009,68892000,-0.51,-0.422989398
1/29/2016,12.75,14.61,14.32,15.06,14.86,32.13,0.008,42784500,-0.54,-0.446391519
2/1/2016,13.13,14.58,14.28,15.03,14.82,37.02,0.03,79464000,-0.54,-0.465113215
2/2/2016,12.19,14.53,14.19,14.98,14.77,33.98,-0.072,86604000,-0.58,-0.488090572
2/3/2016,11.57,14.47,14.09,14.93,14.71,21.88,-0.051,118971000,-0.62,-0.514472458
2/4/2016,11.69,14.41,14,14.88,14.65,24.78,0.011,65781000,-0.65,-0.541577966
2/5/2016,10.84,14.34,13.87,14.82,14.57,20.45,-0.073,141564000,-0.7,-0.573262373
2/8/2016,9.87,14.24,13.72,14.75,14.48,18.25,-0.09,139695000,-0.76,-0.610609898
2/9/2016,9.88,14.13,13.56,14.67,14.39,17.2,0.002,129774000,-0.83,-0.654487919
2/10/2016,9.58,14.02,13.41,14.6,14.29,13.58,-0.031,156097500,-0.88,-0.699590335
2/11/2016,10.03,13.91,13.28,14.52,14.21,21.82,0.047,213786000,-0.93,-0.745672268
2/12/2016,10.07,13.79,13.15,14.45,14.13,23.16,0.004,108537000,-0.98,-0.792537814
2/16/2016,10.34,13.69,13.04,14.38,14.05,28.87,0.027,83907000,-1.01,-0.836030251
2/17/2016,11.25,13.61,12.97,14.31,14,38.29,0.087,87378000,-1.03,-0.874824201
2/18/2016,11.12,13.52,12.9,14.25,13.94,36.45,-0.011,58314000,-1.04,-0.907859361
2/19/2016,11.11,13.44,12.83,14.19,13.88,32.06,-0.001,44391000,-1.05,-0.936287489
2/22/2016,11.85,13.37,12.79,14.14,13.84,46.91,0.067,75901500,-1.05,-0.959029991
2/23/2016,11.81,13.31,12.75,14.1,13.8,52.56,-0.003,89766000,-1.05,-0.977223993
2/24/2016,11.93,13.24,12.72,14.05,13.77,52.52,0.01,80934000,-1.05,-0.991779194
2/25/2016,12.5,13.2,12.71,14.02,13.74,68.13,0.047,86260500,-1.03,-0.999423355
2/26/2016,12.69,13.17,12.71,13.98,13.72,87.3,0.016,90976500,-1.01,-1.001538684
2/29/2016,12.8,13.13,12.71,13.94,13.7,87.59,0.008,67485000,-0.99,-0.999230947
3/1/2016,12.42,13.06,12.7,13.9,13.68,86.11,-0.029,100683000,-0.98,-0.995384758
3/2/2016,12.56,13,12.7,13.88,13.65,84.88,0.011,72936000,-0.95,-0.986307806
3/3/2016,13.05,12.96,12.71,13.85,13.64,86.57,0.039,72435000,-0.93,-0.975046245
3/4/2016,13.4,12.91,12.74,13.84,13.64,86.82,0.027,97336500,-0.9,-0.960036996
3/7/2016,13.69,12.88,12.77,13.83,13.64,84.52,0.021,79941000,-0.87,-0.942029597
3/8/2016,13.51,12.85,12.8,13.82,13.64,83.29,-0.013,62680500,-0.84,-0.921623677
3/9/2016,13.91,12.82,12.85,13.82,13.64,85.27,0.03,48129000,-0.79,-0.895298942
3/10/2016,13.68,12.78,12.88,13.81,13.64,76.32,-0.017,77887500,-0.76,-0.868239154
3/11/2016,13.83,12.75,12.92,13.79,13.65,78.09,0.011,50146500,-0.73,-0.840591323
3/14/2016,14.34,12.71,12.97,13.79,13.66,80.24,0.037,60985500,-0.69,-0.810473058
