Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
1/3/2022,399.93,355.54,338.68,304.22,312.95,75.19,0.135,103931400
1/4/2022,383.2,357.14,340.43,305.65,314.34,66.96,-0.042,100248300
1/5/2022,362.71,357.56,341.3,306.89,315.3,65.38,-0.053,80119800
1/6/2022,354.9,357.87,341.84,308.15,316.08,62.19,-0.022,90336600
1/7/2022,342.32,357.8,341.86,309.35,316.6,61.61,-0.035,84164700
1/10/2022,352.71,357.67,342.28,310.58,317.32,61.08,0.03,91815000
1/11/2022,354.8,357.34,342.77,311.88,318.06,55.84,0.006,66063300
1/12/2022,368.74,356.66,343.79,313.3,319.06,54.27,0.039,83739000
1/13/2022,343.85,355.72,343.79,314.39,319.56,43.85,-0.067,97209900
1/14/2022,349.87,354.63,344.03,315.53,320.16,46.26,0.017,72924300
1/18/2022,343.5,353.3,344.01,316.59,320.62,44.81,-0.018,66743400
1/19/2022,331.88,351.79,343.53,317.57,320.84,43.27,-0.034,75442500
1/20/2022,332.09,350.68,343.09,318.52,321.06,44.42,0.001,70488600
1/21/2022,314.63,350.15,341.97,319.23,320.94,21.68,-0.053,103416000
1/24/2022,310,349.23,340.72,319.88,320.72,23.57,-0.015,151565700
1/25/2022,306.13,348.26,339.36,320.49,320.43,26.79,-0.012,86595900
1/26/2022,312.47,347.62,338.31,321.18,320.27,32.38,0.021,104867400
1/27/2022,276.37,346.39,335.88,321.49,319.4,27.09,-0.116,147109500
1/28/2022,282.12,345,333.77,321.8,318.67,24.66,0.021,134789100
1/31/2022,312.24,343.99,332.92,322.41,318.54,37.28,0.107,104436000
2/1/2022,310.42,342.89,332.04,323,318.38,31.21,-0.006,73138200
2/2/2022,301.89,341.34,330.86,323.57,318.05,34.89,-0.027,66792900
2/3/2022,297.05,339.57,329.53,324.06,317.64,30.81,-0.016,78855600
2/4/2022,307.77,338.33,328.68,324.66,317.44,37.42,0.036,73625400
2/7/2022,302.45,336.94,327.65,325.16,317.14,39.16,-0.017,60994500
2/8/2022,307.33,335.88,326.85,325.71,316.95,41.18,0.016,50729100
2/9/2022,310.67,334.51,326.22,326.29,316.82,48.43,0.011,52259400
2/10/2022,301.52,332.91,325.25,326.87,316.52,46.76,-0.029,66126900
2/11/2022,286.67,331.34,323.74,327.27,315.93,43.13,-0.049,79645800
2/14/2022,291.92,329.95,322.49,327.68,315.45,42.7,0.018,67756500
2/15/2022,307.48,329.33,321.9,328.25,315.3,62.95,0.053,57286200
2/16/2022,307.8,328.76,321.35,328.74,315.15,61.19,0.001,51294300
2/17/2022,292.12,327.59,320.2,329.03,314.69,39.97,-0.051,55178400
2/18/2022,285.66,326.18,318.85,329.29,314.12,38.2,-0.022,68501700
2/22/2022,273.84,324.96,317.08,329.42,313.32,37.04,-0.041,83288100
2/23/2022,254.68,323.28,314.63,329.39,312.16,32.71,-0.07,95256900
2/24/2022,266.92,322.17,312.76,329.47,311.26,33.53,0.048,135322200
2/25/2022,269.96,321.18,311.09,329.57,310.44,36.66,0.011,76067700
2/28/2022,290.14,320.48,310.26,329.87,310.04,43.73,0.075,99006900
3/1/2022,288.12,320.06,309.4,330.14,309.61,41.7,-0.007,74766900
3/2/2022,293.3,319.71,308.76,330.43,309.29,46.88,0.018,74643300
3/3/2022,279.76,319.31,307.63,330.6,308.7,47.35,-0.046,61623600
3/4/2022,279.43,318.64,306.52,330.76,308.12,45.02,-0.001,66999600
3/7/2022,268.19,317.28,305.02,330.76,307.33,33.79,-0.04,72494100
3/8/2022,274.8,315.66,303.83,330.8,306.69,37.06,0.025,80399100
3/9/2022,286.32,314.09,303.15,330.94,306.28,47.65,0.042,59184000
3/10/2022,279.43,312.42,302.22,330.92,305.75,47.48,-0.024,58648500
3/11/2022,265.12,310.48,300.76,330.67,304.95,46.54,-0.051,67037100
3/14/2022,255.46,308.46,298.99,330.34,303.97,50.33,-0.036,71152200
3/15/2022,267.3,306.76,297.74,330.13,303.24,50.16,0.046,66841200
3/16/2022,280.08,304.36,297.05,329.95,302.78,54.01,0.048,84028800
3/17/2022,290.53,302.51,296.79,329.82,302.54,50.17,0.037,66582900
3/18/2022,301.8,301.29,296.99,329.43,302.52,55.44,0.039,100414200
3/21/2022,307.05,300.33,297.38,329.1,302.61,55.47,0.017,81981600
3/22/2022,331.33,300.11,298.72,328.96,303.18,68.9,0.079,105868500
3/23/2022,333.04,299.72,300.06,328.7,303.77,69.45,0.005,120676200
3/24/2022,337.97,299.38,301.55,328.36,304.45,76.53,0.015,68920800
3/25/2022,336.88,298.75,302.93,327.7,305.09,74.63,-0.003,62031600
3/28/2022,363.95,299.15,305.33,327.44,306.26,77.42,0.08,102506100
3/29/2022,366.52,299.48,307.73,327.05,307.45,81.73,0.007,73614900
3/30/2022,364.66,299.9,309.96,326.6,308.59,89.89,-0.005,59865000
3/31/2022,359.2,300.45,311.89,326.12,309.59,93.02,-0.015,48992700
4/1/2022,361.53,301.04,313.84,325.86,310.62,92.42,0.006,54263100
4/4/2022,381.82,302.38,316.5,326.27,312.03,92.9,0.056,82035900
4/5/2022,363.75,303.46,318.36,326.34,313.05,79.01,-0.047,80075100
4/6/2022,348.59,304.31,319.54,326.28,313.75,67.98,-0.042,89348400
4/7/2022,352.42,305.11,320.83,326.36,314.52,67.63,0.011,79447200
4/8/2022,341.83,306.42,321.65,326.4,315.06,54.57,-0.03,55013700
4/11/2022,325.31,307.28,321.8,326.14,315.26,47.02,-0.048,59357100
4/12/2022,328.98,307.61,322.08,325.8,315.54,46.5,0.011,65976000
4/13/2022,340.79,308.22,322.81,325.55,316.04,51.4,0.036,55121100
4/14/2022,328.33,308.75,323.03,325.05,316.28,35.71,-0.037,58422300
4/18/2022,334.76,309.51,323.49,324.54,316.64,37.64,0.02,51715200
4/19/2022,342.72,310.2,324.24,324.27,317.16,41.85,0.024,49847700
4/20/2022,325.73,310.67,324.3,323.81,317.33,38.55,-0.05,70711200
4/21/2022,336.26,311.25,324.77,323.56,317.71,41.81,0.032,105416400
4/22/2022,335.02,311.74,325.17,323.12,318.05,32.7,-0.004,69696600
4/25/2022,332.67,312.36,325.47,322.63,318.34,37,-0.007,68341200
4/26/2022,292.14,312.47,324.16,321.9,317.82,30.52,-0.122,136133700
4/27/2022,293.84,312.51,322.97,321.23,317.34,29.48,0.006,76956300
4/28/2022,292.5,312.21,321.78,320.77,316.85,31.53,-0.005,124948500
4/29/2022,290.25,311.86,320.54,320.31,316.33,35.3,-0.008,88133100
5/2/2022,300.98,312.03,319.77,319.81,316.02,38.91,0.037,75781500
5/3/2022,303.08,312.38,319.12,319.28,315.77,33.83,0.007,63709500
5/4/2022,317.54,313.26,319.06,319.11,315.8,45.45,0.048,81643800
5/5/2022,291.09,313.98,317.96,318.63,315.31,34.25,-0.083,92519100
5/6/2022,288.55,314.42,316.81,318.29,314.78,29.67,-0.009,72903000
5/9/2022,262.37,314.27,314.67,317.72,313.74,27.75,-0.091,90810300
5/10/2022,266.68,313.8,312.79,317.14,312.81,24.45,0.016,84401700
5/11/2022,244.67,312.93,310.12,316.49,311.46,21.21,-0.083,97224600
5/12/2022,242.67,311.91,307.47,315.81,310.1,21.26,-0.008,140313000
5/13/2022,256.53,311.45,305.48,315.38,309.04,36.3,0.057,92150700
5/16/2022,241.46,310.69,302.96,314.66,307.7,31.72,-0.059,86098500
5/17/2022,253.87,310.4,301.04,313.84,306.64,37.49,0.051,80236200
5/18/2022,236.6,309.64,298.51,312.65,305.25,34.16,-0.068,87811800
5/19/2022,236.47,308.64,296.08,311.37,303.89,29.69,-0.001,90296700
5/20/2022,221.3,307.48,293.15,309.95,302.25,26.21,-0.064,144973200
5/23/2022,224.97,306.68,290.47,308.58,300.72,21.26,0.017,88903500
5/24/2022,209.39,305.76,287.29,307.11,298.91,22.8,-0.069,89092500
5/25/2022,219.6,304.8,284.64,305.78,297.34,28.16,0.049,92139300
5/26/2022,235.91,303.92,282.73,304.14,296.13,41.06,0.074,106003200
5/27/2022,253.21,303.17,281.57,302.84,295.28,45.82,0.073,89295000
5/31/2022,252.75,302.19,280.44,301.74,294.43,52.9,-0.002,101914500
6/1/2022,246.79,300.99,279.12,300.66,293.49,51.44,-0.024,77247900
6/2/2022,258.33,299.53,278.31,299.82,292.79,50.64,0.047,93473100
6/3/2022,234.52,297.56,276.59,298.64,291.64,47.68,-0.092,112393800
6/6/2022,238.28,295.56,275.09,297.47,290.58,44.48,0.016,84204600
6/7/2022,238.89,293.6,273.67,296.17,289.56,50.92,0.003,72808500
6/8/2022,241.87,291.16,272.42,295.15,288.61,52.12,0.012,76210500
6/9/2022,239.71,288.62,271.14,294.05,287.65,58.05,-0.009,96491400
6/10/2022,232.23,285.98,269.61,292.94,286.55,53.07,-0.031,97536600
6/13/2022,215.74,283.11,267.5,291.78,285.15,52.67,-0.071,102767400
6/14/2022,220.89,280.29,265.67,290.67,283.87,50.57,0.024,97988700
6/15/2022,233,277.32,264.39,289.85,282.87,48.68,0.055,119131800
6/16/2022,213.1,274.3,262.38,288.88,281.49,32.16,-0.085,107390700
6/17/2022,216.76,271.67,260.59,287.99,280.2,34.44,0.017,92641800
6/21/2022,237.04,269.36,259.67,287.23,279.35,46.25,0.094,122793000
6/22/2022,236.09,267.24,258.74,286.83,278.49,40.68,-0.004,101107500
6/23/2022,235.07,265.44,257.81,286.36,277.63,50.29,-0.004,104202600
6/24/2022,245.71,263.77,257.34,285.69,277,53.59,0.045,95770800
6/27/2022,244.92,261.86,256.85,285.04,276.37,52.91,-0.003,89178300
6/28/2022,232.66,259.94,255.9,284.35,275.5,45.92,-0.05,90391200
6/29/2022,228.49,257.82,254.83,283.66,274.57,45.12,-0.018,82897200
6/30/2022,224.47,255.45,253.64,282.83,273.58,46.52,-0.018,94600500
7/1/2022,227.26,253.48,252.6,282.08,272.66,55.9,0.012,74460300
7/5/2022,233.07,251.42,251.84,281.33,271.88,56.19,0.026,84581100
7/6/2022,231.73,249.35,251.05,280.54,271.08,49.28,-0.006,71853600
7/7/2022,244.54,247.59,250.79,279.98,270.56,69.53,0.055,81930600
7/8/2022,250.76,246.76,250.79,279.62,270.16,70.47,0.025,101854200
7/11/2022,234.34,245.57,250.15,279.04,269.45,48.3,-0.065,99241200
7/12/2022,233.07,244.39,249.48,278.3,268.73,48.1,-0.005,87930900
7/13/2022,237.04,243.32,248.99,277.59,268.11,51.19,0.017,97954500
7/14/2022,238.31,242.07,248.57,277.05,267.52,44.94,0.005,78557400
